
Distance To Nearest Neighbour
 ==================== 
Distance To Nearest Neighbour,Unit,Category,Time,TrackID,ID,
57.449,µm,Spot,11,1000158060,302820,
50.0147,µm,Spot,11,1000130081,303418,
65.8106,µm,Spot,11,1000014633,304159,
9.17726,µm,Spot,11,1000218062,304956,
34.7948,µm,Spot,11,1000275823,305169,
21.2199,µm,Spot,11,1000074239,305193,
9.17726,µm,Spot,11,1000278844,308213,
21.2199,µm,Spot,11,1000221333,308444,
2.23985,µm,Spot,11,1000224234,308734,
21.3267,µm,Spot,11,1000019405,308790,
19.9635,µm,Spot,11,1000165097,309573,
2.23985,µm,Spot,11,1000224241,311362,
48.8492,µm,Spot,11,1000224431,311542,
59.5093,µm,Spot,11,1000196023,311574,
15.6506,µm,Spot,11,1000253547,311626,
3.73273,µm,Spot,11,1000282868,312193,
3.73273,µm,Spot,11,1000282540,312199,
13.3372,µm,Spot,11,1000080712,312392,
15.6506,µm,Spot,11,1000196749,312713,
33.0309,µm,Spot,11,1000312915,312915,
39.3669,µm,Spot,11,1000111173,312994,
19.9635,µm,Spot,11,1000226383,313835,
28.5672,µm,Spot,11,1000027048,313885,
28.1734,µm,Spot,11,1000026374,315460,
44.2443,µm,Spot,11,1000026660,315763,
3.96746,µm,Spot,11,1000199932,315851,
3.96746,µm,Spot,11,1000257305,315870,
33.0309,µm,Spot,11,1000024512,316043,
43.4607,µm,Spot,11,1000260417,318916,
42.6578,µm,Spot,11,1000260594,319098,
12.8221,µm,Spot,11,1000145899,319743,
9.44011,µm,Spot,11,1000232501,319753,
9.44011,µm,Spot,11,1000290426,319755,
36.1845,µm,Spot,12,1000290900,320267,
72.3944,µm,Spot,12,1000320447,320447,
45.1307,µm,Spot,12,1000178867,323471,
36.1845,µm,Spot,12,1000034728,323630,
45.1307,µm,Spot,12,1000327258,327258,
56.1127,µm,Spot,12,1000008102,327597,
49.5721,µm,Spot,12,1000244446,331820,
55.3127,µm,Spot,12,1000071729,332124,
34.7858,µm,Spot,12,1000014633,333504,
35.2324,µm,Spot,12,1000275823,334574,
22.2912,µm,Spot,12,1000074239,334588,
6.73917,µm,Spot,12,1000218062,334649,
54.3174,µm,Spot,12,1000158060,334766,
6.73917,µm,Spot,12,1000278844,337535,
22.2912,µm,Spot,12,1000221333,337717,
4.1041,µm,Spot,12,1000224234,338033,
23.1408,µm,Spot,12,1000019405,338084,
34.7858,µm,Spot,12,1000338312,338312,
19.1337,µm,Spot,12,1000165097,338811,
4.1041,µm,Spot,12,1000224241,340544,
49.595,µm,Spot,12,1000224431,340696,
59.4784,µm,Spot,12,1000196023,340725,
15.2019,µm,Spot,12,1000253547,340780,
5.1774,µm,Spot,12,1000282540,341020,
5.1774,µm,Spot,12,1000282868,341314,
15.5506,µm,Spot,12,1000080712,341500,
15.2019,µm,Spot,12,1000196749,341815,
31.8871,µm,Spot,12,1000312915,342010,
38.4674,µm,Spot,12,1000111173,342104,
19.1337,µm,Spot,12,1000226383,342656,
29.2663,µm,Spot,12,1000027048,342982,
29.2856,µm,Spot,12,1000026374,344546,
43.9304,µm,Spot,12,1000026660,344833,
2.98302,µm,Spot,12,1000199932,344942,
2.98302,µm,Spot,12,1000257305,344953,
31.8871,µm,Spot,12,1000024512,345116,
44.1694,µm,Spot,12,1000260417,347970,
42.281,µm,Spot,12,1000260594,348147,
11.9644,µm,Spot,12,1000145899,348845,
10.0066,µm,Spot,12,1000232501,348849,
10.0066,µm,Spot,12,1000290426,348853,
36.7748,µm,Spot,13,1000290900,349380,
71.3094,µm,Spot,13,1000320447,349580,
46.1149,µm,Spot,13,1000178867,352590,
36.7748,µm,Spot,13,1000034728,352773,
22.4093,µm,Spot,13,1000354440,354440,
22.4093,µm,Spot,13,1000354480,354480,
46.1149,µm,Spot,13,1000327258,356160,
55.0945,µm,Spot,13,1000008102,356736,
48.936,µm,Spot,13,1000244446,360874,
55.9916,µm,Spot,13,1000071729,361148,
33.8054,µm,Spot,13,1000014633,362490,
35.1072,µm,Spot,13,1000275823,363531,
22.1581,µm,Spot,13,1000074239,363546,
6.27031,µm,Spot,13,1000218062,363606,
6.27031,µm,Spot,13,1000278844,366498,
22.1581,µm,Spot,13,1000221333,366718,
3.60817,µm,Spot,13,1000224241,367020,
23.6388,µm,Spot,13,1000019405,367076,
33.8054,µm,Spot,13,1000338312,367314,
16.7479,µm,Spot,13,1000165097,368149,
3.60817,µm,Spot,13,1000224234,369566,
50.3423,µm,Spot,13,1000224431,369729,
58.4631,µm,Spot,13,1000196023,369764,
12.7581,µm,Spot,13,1000253547,369823,
5.249,µm,Spot,13,1000282540,370059,
16.1308,µm,Spot,13,1000080712,370551,
5.249,µm,Spot,13,1000282868,370670,
3.46995,µm,Spot,13,1000196749,370869,
29.5339,µm,Spot,13,1000312915,371100,
35.9716,µm,Spot,13,1000111173,371189,
3.67373,µm,Spot,13,1000371442,371442,
3.67373,µm,Spot,13,1000226383,371745,
28.3428,µm,Spot,13,1000027048,372095,
3.46995,µm,Spot,13,1000373068,373068,
30.1855,µm,Spot,13,1000026374,373583,
43.1099,µm,Spot,13,1000026660,373869,
2.75653,µm,Spot,13,1000199932,373973,
2.75653,µm,Spot,13,1000257305,373980,
29.5339,µm,Spot,13,1000024512,374152,
41.9801,µm,Spot,13,1000260417,376655,
43.0116,µm,Spot,13,1000260594,377159,
11.5634,µm,Spot,13,1000145899,377817,
9.35304,µm,Spot,13,1000232501,377823,
9.35304,µm,Spot,13,1000290426,377828,
36.4073,µm,Spot,14,1000290900,378365,
71.9719,µm,Spot,14,1000320447,378573,
44.4647,µm,Spot,14,1000178867,379911,
36.4073,µm,Spot,14,1000034728,381380,
21.3781,µm,Spot,14,1000354440,383368,
21.3781,µm,Spot,14,1000354480,383405,
2.32009,µm,Spot,14,1000327258,385098,
2.32009,µm,Spot,14,1000385100,385100,
57.7723,µm,Spot,14,1000008102,385535,
48.7798,µm,Spot,14,1000244446,389772,
34.3679,µm,Spot,14,1000014633,391286,
46.0137,µm,Spot,14,1000275823,392500,
7.79298,µm,Spot,14,1000218062,392581,
31.4511,µm,Spot,14,1000221333,395328,
7.79298,µm,Spot,14,1000278844,395431,
2.06293,µm,Spot,14,1000224234,395980,
2.06293,µm,Spot,14,1000224241,395984,
23.8583,µm,Spot,14,1000019405,396019,
49.4566,µm,Spot,14,1000224431,396145,
34.3679,µm,Spot,14,1000338312,396273,
17.7349,µm,Spot,14,1000165097,396760,
