
Average Distance To 5 Nearest Neighbours
 ==================== 
Average Distance To 5 Nearest Neighbours,Unit,Category,Time,TrackID,ID,
37.4234,µm,Spot,11,1000074239,305193,
27.6839,µm,Spot,11,1000278844,308213,
39.1189,µm,Spot,11,1000221333,308444,
41.625,µm,Spot,11,1000224234,308734,
38.2222,µm,Spot,11,1000019405,308790,
52.158,µm,Spot,11,1000165097,309573,
42.0397,µm,Spot,11,1000224241,311362,
56.7248,µm,Spot,11,1000224431,311542,
68.2045,µm,Spot,11,1000196023,311574,
33.8053,µm,Spot,11,1000253547,311626,
35.9028,µm,Spot,11,1000282868,312193,
36.9636,µm,Spot,11,1000282540,312199,
24.6613,µm,Spot,11,1000080712,312392,
28.1193,µm,Spot,11,1000196749,312713,
61.7182,µm,Spot,11,1000312915,312915,
58.3881,µm,Spot,11,1000111173,312994,
53.5913,µm,Spot,11,1000226383,313835,
53.0571,µm,Spot,11,1000027048,313885,
39.8766,µm,Spot,11,1000026374,315460,
64.7648,µm,Spot,11,1000026660,315763,
28.366,µm,Spot,11,1000199932,315851,
28.5487,µm,Spot,11,1000257305,315870,
53.9383,µm,Spot,11,1000024512,316043,
60.5338,µm,Spot,11,1000260417,318916,
63.8155,µm,Spot,11,1000260594,319098,
63.2994,µm,Spot,11,1000145899,319743,
56.1658,µm,Spot,11,1000232501,319753,
60.1013,µm,Spot,11,1000290426,319755,
107.15,µm,Spot,12,1000290900,320267,
82.9539,µm,Spot,12,1000320447,320447,
88.0767,µm,Spot,12,1000178867,323471,
103.129,µm,Spot,12,1000034728,323630,
69.465,µm,Spot,12,1000327258,327258,
79.0096,µm,Spot,12,1000008102,327597,
65.1945,µm,Spot,12,1000244446,331820,
68.6294,µm,Spot,12,1000071729,332124,
67.1765,µm,Spot,12,1000014633,333504,
47.2688,µm,Spot,12,1000275823,334574,
37.1159,µm,Spot,12,1000074239,334588,
32.6398,µm,Spot,12,1000218062,334649,
61.2539,µm,Spot,12,1000158060,334766,
29.5222,µm,Spot,12,1000278844,337535,
39.0788,µm,Spot,12,1000221333,337717,
41.9623,µm,Spot,12,1000224234,338033,
38.1066,µm,Spot,12,1000019405,338084,
60.5566,µm,Spot,12,1000338312,338312,
51.5626,µm,Spot,12,1000165097,338811,
42.6395,µm,Spot,12,1000224241,340544,
56.7922,µm,Spot,12,1000224431,340696,
66.8745,µm,Spot,12,1000196023,340725,
33.7335,µm,Spot,12,1000253547,340780,
37.1855,µm,Spot,12,1000282540,341020,
36.752,µm,Spot,12,1000282868,341314,
25.5503,µm,Spot,12,1000080712,341500,
28.7677,µm,Spot,12,1000196749,341815,
60.72,µm,Spot,12,1000312915,342010,
57.5444,µm,Spot,12,1000111173,342104,
52.9818,µm,Spot,12,1000226383,342656,
53.6091,µm,Spot,12,1000027048,342982,
40.1241,µm,Spot,12,1000026374,344546,
64.8593,µm,Spot,12,1000026660,344833,
29.0328,µm,Spot,12,1000199932,344942,
29.3069,µm,Spot,12,1000257305,344953,
56.8359,µm,Spot,12,1000024512,345116,
59.5743,µm,Spot,12,1000260417,347970,
63.8909,µm,Spot,12,1000260594,348147,
69.408,µm,Spot,12,1000145899,348845,
63.822,µm,Spot,12,1000232501,348849,
67.9344,µm,Spot,12,1000290426,348853,
107.645,µm,Spot,13,1000290900,349380,
81.5165,µm,Spot,13,1000320447,349580,
81.8712,µm,Spot,13,1000178867,352590,
102.644,µm,Spot,13,1000034728,352773,
53.0346,µm,Spot,13,1000354440,354440,
59.41,µm,Spot,13,1000354480,354480,
66.9549,µm,Spot,13,1000327258,356160,
77.3371,µm,Spot,13,1000008102,356736,
61.1639,µm,Spot,13,1000244446,360874,
67.1503,µm,Spot,13,1000071729,361148,
61.0767,µm,Spot,13,1000014633,362490,
47.6888,µm,Spot,13,1000275823,363531,
37.8041,µm,Spot,13,1000074239,363546,
31.6525,µm,Spot,13,1000218062,363606,
28.9824,µm,Spot,13,1000278844,366498,
40.1635,µm,Spot,13,1000221333,366718,
43.3182,µm,Spot,13,1000224241,367020,
39.0206,µm,Spot,13,1000019405,367076,
53.2566,µm,Spot,13,1000338312,367314,
41.7506,µm,Spot,13,1000165097,368149,
42.882,µm,Spot,13,1000224234,369566,
55.9988,µm,Spot,13,1000224431,369729,
66.1646,µm,Spot,13,1000196023,369764,
27.2251,µm,Spot,13,1000253547,369823,
37.1331,µm,Spot,13,1000282540,370059,
24.9229,µm,Spot,13,1000080712,370551,
36.7169,µm,Spot,13,1000282868,370670,
21.9273,µm,Spot,13,1000196749,370869,
63.1506,µm,Spot,13,1000312915,371100,
49.1514,µm,Spot,13,1000111173,371189,
35.6924,µm,Spot,13,1000371442,371442,
37.0232,µm,Spot,13,1000226383,371745,
39.9315,µm,Spot,13,1000027048,372095,
22.5373,µm,Spot,13,1000373068,373068,
37.5621,µm,Spot,13,1000026374,373583,
64.027,µm,Spot,13,1000026660,373869,
25.875,µm,Spot,13,1000199932,373973,
26.6073,µm,Spot,13,1000257305,373980,
60.0712,µm,Spot,13,1000024512,374152,
64.2552,µm,Spot,13,1000260417,376655,
64.4715,µm,Spot,13,1000260594,377159,
70.6418,µm,Spot,13,1000145899,377817,
64.659,µm,Spot,13,1000232501,377823,
68.4314,µm,Spot,13,1000290426,377828,
97.3945,µm,Spot,14,1000290900,378365,
87.0633,µm,Spot,14,1000320447,378573,
71.1208,µm,Spot,14,1000178867,379911,
98.4088,µm,Spot,14,1000034728,381380,
56.7178,µm,Spot,14,1000354440,383368,
63.2643,µm,Spot,14,1000354480,383405,
50.4905,µm,Spot,14,1000327258,385098,
49.4356,µm,Spot,14,1000385100,385100,
86.693,µm,Spot,14,1000008102,385535,
61.693,µm,Spot,14,1000244446,389772,
54.4818,µm,Spot,14,1000014633,391286,
50.7824,µm,Spot,14,1000275823,392500,
31.6262,µm,Spot,14,1000218062,392581,
45.8646,µm,Spot,14,1000221333,395328,
27.6199,µm,Spot,14,1000278844,395431,
32.0465,µm,Spot,14,1000224234,395980,
31.9987,µm,Spot,14,1000224241,395984,
35.3161,µm,Spot,14,1000019405,396019,
55.0364,µm,Spot,14,1000224431,396145,
53.495,µm,Spot,14,1000338312,396273,
52.3095,µm,Spot,14,1000165097,396760,
55.7367,µm,Spot,14,1000196023,398660,
26.8649,µm,Spot,14,1000253547,398711,
37.8074,µm,Spot,14,1000282540,398941,
38.0895,µm,Spot,14,1000282868,399235,
22.4392,µm,Spot,14,1000196749,399414,
23.6498,µm,Spot,14,1000080712,399444,
22.8635,µm,Spot,14,1000373068,399716,
68.1166,µm,Spot,14,1000312915,399918,
55.5104,µm,Spot,14,1000111173,399990,
51.589,µm,Spot,14,1000371442,400244,
52.9324,µm,Spot,14,1000027048,400915,
37.006,µm,Spot,14,1000401657,401657,
37.4129,µm,Spot,14,1000026374,402334,
73.521,µm,Spot,14,1000402605,402605,
25.1439,µm,Spot,14,1000199932,402701,
26.5533,µm,Spot,14,1000257305,402717,
67.5987,µm,Spot,14,1000024512,402891,
33.0514,µm,Spot,14,1000405139,405139,
64.5225,µm,Spot,14,1000260417,405314,
63.16,µm,Spot,14,1000260594,405853,
69.2277,µm,Spot,14,1000145899,406550,
63.3388,µm,Spot,14,1000232501,406554,
67.1296,µm,Spot,14,1000290426,406557,
117.984,µm,Spot,15,1000290900,407107,
85.167,µm,Spot,15,1000320447,407345,
73.172,µm,Spot,15,1000178867,408709,
97.5699,µm,Spot,15,1000409035,409035,
63.1382,µm,Spot,15,1000354480,412263,
60.8832,µm,Spot,15,1000354440,412471,
58.6665,µm,Spot,15,1000327258,414040,
57.1942,µm,Spot,15,1000385100,414048,
84.6892,µm,Spot,15,1000008102,414497,
62.8464,µm,Spot,15,1000244446,418817,
47.5913,µm,Spot,15,1000275823,421562,
46.3902,µm,Spot,15,1000421574,421574,
31.1968,µm,Spot,15,1000218062,421663,
84.2425,µm,Spot,15,1000423376,423376,
28.0089,µm,Spot,15,1000278844,424519,
57.1059,µm,Spot,15,1000019405,425097,
54.8047,µm,Spot,15,1000224431,425221,
61.4547,µm,Spot,15,1000338312,425331,
46.1507,µm,Spot,15,1000165097,425817,
70.4609,µm,Spot,15,1000196023,427702,
36.8504,µm,Spot,15,1000282540,427968,
26.4644,µm,Spot,15,1000253547,428122,
37.4322,µm,Spot,15,1000282868,428284,
23.8229,µm,Spot,15,1000080712,428462,
22.3774,µm,Spot,15,1000196749,428756,
66.5159,µm,Spot,15,1000312915,428970,
44.0416,µm,Spot,15,1000111173,429038,
39.9988,µm,Spot,15,1000371442,429338,
33.6972,µm,Spot,15,1000429687,429687,
34.6369,µm,Spot,15,1000027048,429991,
67.1123,µm,Spot,15,1000401657,430726,
23.1162,µm,Spot,15,1000373068,430921,
37.0407,µm,Spot,15,1000026374,431402,
73.724,µm,Spot,15,1000402605,431690,
25.3557,µm,Spot,15,1000199932,431779,
27.2742,µm,Spot,15,1000257305,431789,
66.9955,µm,Spot,15,1000024512,431954,
33.332,µm,Spot,15,1000405139,434235,
64.1407,µm,Spot,15,1000260417,434420,
61.9816,µm,Spot,15,1000260594,434965,
70.0592,µm,Spot,15,1000145899,435593,
64.2448,µm,Spot,15,1000232501,435599,
68.117,µm,Spot,15,1000290426,435603,
93.1121,µm,Spot,16,1000290900,436100,
81.9845,µm,Spot,16,1000320447,436756,
69.2644,µm,Spot,16,1000178867,437671,
92.0471,µm,Spot,16,1000409035,438135,
91.1881,µm,Spot,16,1000439186,439186,
49.2887,µm,Spot,16,1000354440,441187,
56.0235,µm,Spot,16,1000354480,441220,
50.6059,µm,Spot,16,1000327258,442909,
49.1158,µm,Spot,16,1000385100,442914,
84.1733,µm,Spot,16,1000008102,443356,
60.2278,µm,Spot,16,1000244446,447272,
53.8101,µm,Spot,16,1000449132,449132,
47.0799,µm,Spot,16,1000275823,450187,
46.0685,µm,Spot,16,1000421574,450197,
79.039,µm,Spot,16,1000423376,452082,
29.7673,µm,Spot,16,1000218062,452867,
