
Diameter
 ==================== 
Diameter X,Diameter Y,Diameter Z,Unit,Category,Collection,Time,TrackID,ID,
3.80971,3.80971,3.80971,µm,Spot,Diameter,5,1000023039,139141,
5.70445,5.70445,5.70445,µm,Spot,Diameter,5,1000111173,139444,
4.1426,4.1426,4.1426,µm,Spot,Diameter,5,1000082174,139613,
3.80971,3.80971,3.80971,µm,Spot,Diameter,5,1000026990,140299,
4.06442,4.06442,4.06442,µm,Spot,Diameter,5,1000025863,141518,
2.87233,2.87233,2.87233,µm,Spot,Diameter,5,1000025898,141554,
3.28799,3.28799,3.28799,µm,Spot,Diameter,5,1000025762,141715,
2.87233,2.87233,2.87233,µm,Spot,Diameter,5,1000026374,142006,
3.28799,3.28799,3.28799,µm,Spot,Diameter,5,1000026660,142309,
3.71676,3.71676,3.71676,µm,Spot,Diameter,5,1000026789,142442,
2.70297,2.70297,2.70297,µm,Spot,Diameter,5,1000024512,142605,
4.55952,4.55952,4.55952,µm,Spot,Diameter,5,1000027048,142723,
4.36103,4.36103,4.36103,µm,Spot,Diameter,5,1000027245,142911,
3.89834,3.89834,3.89834,µm,Spot,Diameter,5,1000027656,143300,
3.80971,3.80971,3.80971,µm,Spot,Diameter,5,1000028849,144692,
3.28799,3.28799,3.28799,µm,Spot,Diameter,5,1000028860,144697,
2.87233,2.87233,2.87233,µm,Spot,Diameter,5,1000058544,145135,
2.87233,2.87233,2.87233,µm,Spot,Diameter,5,1000029962,145462,
3.6189,3.6189,3.6189,µm,Spot,Diameter,5,1000145899,145899,
2.87233,2.87233,2.87233,µm,Spot,Diameter,5,1000117221,146100,
3.71676,3.71676,3.71676,µm,Spot,Diameter,6,1000000426,147253,
4.06442,4.06442,4.06442,µm,Spot,Diameter,6,1000034728,149987,
2.50922,2.50922,2.50922,µm,Spot,Diameter,6,1000005575,151677,
4.42918,4.42918,4.42918,µm,Spot,Diameter,6,1000094504,151710,
3.40552,3.40552,3.40552,µm,Spot,Diameter,6,1000008102,154042,
2.70297,2.70297,2.70297,µm,Spot,Diameter,6,1000011182,156798,
4.29068,4.29068,4.29068,µm,Spot,Diameter,6,1000071729,157999,
4.91159,4.91159,4.91159,µm,Spot,Diameter,6,1000158060,158060,
5.17056,5.17056,5.17056,µm,Spot,Diameter,6,1000069455,158557,
3.40552,3.40552,3.40552,µm,Spot,Diameter,6,1000130081,158794,
3.02378,3.02378,3.02378,µm,Spot,Diameter,6,1000014633,159593,
4.42918,4.42918,4.42918,µm,Spot,Diameter,6,1000014915,159795,
4.1426,4.1426,4.1426,µm,Spot,Diameter,6,1000074239,160614,
2.87233,2.87233,2.87233,µm,Spot,Diameter,6,1000018381,163048,
3.89834,3.89834,3.89834,µm,Spot,Diameter,6,1000135496,164167,
2.70297,2.70297,2.70297,µm,Spot,Diameter,6,1000165097,165097,
3.89834,3.89834,3.89834,µm,Spot,Diameter,6,1000136105,165141,
2.87233,2.87233,2.87233,µm,Spot,Diameter,6,1000023639,165409,
4.21794,4.21794,4.21794,µm,Spot,Diameter,6,1000019405,166686,
3.02378,3.02378,3.02378,µm,Spot,Diameter,6,1000022248,166839,
3.6189,3.6189,3.6189,µm,Spot,Diameter,6,1000080712,166933,
3.6189,3.6189,3.6189,µm,Spot,Diameter,6,1000138478,167324,
2.87233,2.87233,2.87233,µm,Spot,Diameter,6,1000023039,168006,
5.5378,5.5378,5.5378,µm,Spot,Diameter,6,1000111173,168315,
3.51545,3.51545,3.51545,µm,Spot,Diameter,6,1000082174,168492,
3.89834,3.89834,3.89834,µm,Spot,Diameter,6,1000026990,169213,
4.06442,4.06442,4.06442,µm,Spot,Diameter,6,1000025863,170750,
3.40552,3.40552,3.40552,µm,Spot,Diameter,6,1000025898,170777,
3.51545,3.51545,3.51545,µm,Spot,Diameter,6,1000025762,170880,
3.02378,3.02378,3.02378,µm,Spot,Diameter,6,1000026374,170923,
3.02378,3.02378,3.02378,µm,Spot,Diameter,6,1000026660,171211,
3.80971,3.80971,3.80971,µm,Spot,Diameter,6,1000026789,171326,
3.16141,3.16141,3.16141,µm,Spot,Diameter,6,1000024512,171491,
4.06442,4.06442,4.06442,µm,Spot,Diameter,6,1000027048,171600,
3.89834,3.89834,3.89834,µm,Spot,Diameter,6,1000027245,171786,
3.71676,3.71676,3.71676,µm,Spot,Diameter,6,1000027656,172144,
2.27978,2.27978,2.27978,µm,Spot,Diameter,6,1000028849,173596,
3.02378,3.02378,3.02378,µm,Spot,Diameter,6,1000028860,173606,
3.6189,3.6189,3.6189,µm,Spot,Diameter,6,1000058544,174031,
3.02378,3.02378,3.02378,µm,Spot,Diameter,6,1000029962,174373,
2.70297,2.70297,2.70297,µm,Spot,Diameter,6,1000117221,175066,
4.55952,4.55952,4.55952,µm,Spot,Diameter,6,1000145899,175260,
2.70297,2.70297,2.70297,µm,Spot,Diameter,7,1000178867,178867,
3.71676,3.71676,3.71676,µm,Spot,Diameter,7,1000034728,179036,
4.91159,4.91159,4.91159,µm,Spot,Diameter,7,1000005575,180676,
4.29068,4.29068,4.29068,µm,Spot,Diameter,7,1000094504,180709,
3.51545,3.51545,3.51545,µm,Spot,Diameter,7,1000008102,183000,
5.31426,5.31426,5.31426,µm,Spot,Diameter,7,1000158060,186936,
4.36103,4.36103,4.36103,µm,Spot,Diameter,7,1000071729,187159,
4.55952,4.55952,4.55952,µm,Spot,Diameter,7,1000069455,187472,
3.98311,3.98311,3.98311,µm,Spot,Diameter,7,1000130081,187691,
