
Intensity Sum of Square Ch=5 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,TrackID,ID,
401086,,Spot,5,Image 1,13,1000008102,356736,
435999,,Spot,5,Image 1,13,1000244446,360874,
193483,,Spot,5,Image 1,13,1000071729,361148,
452458,,Spot,5,Image 1,13,1000014633,362490,
340356,,Spot,5,Image 1,13,1000275823,363531,
238308,,Spot,5,Image 1,13,1000074239,363546,
1.04829e+06,,Spot,5,Image 1,13,1000218062,363606,
490992,,Spot,5,Image 1,13,1000278844,366498,
415968,,Spot,5,Image 1,13,1000221333,366718,
313019,,Spot,5,Image 1,13,1000224241,367020,
439306,,Spot,5,Image 1,13,1000019405,367076,
262874,,Spot,5,Image 1,13,1000338312,367314,
252528,,Spot,5,Image 1,13,1000165097,368149,
342568,,Spot,5,Image 1,13,1000224234,369566,
366651,,Spot,5,Image 1,13,1000224431,369729,
100349,,Spot,5,Image 1,13,1000196023,369764,
541934,,Spot,5,Image 1,13,1000253547,369823,
447835,,Spot,5,Image 1,13,1000282540,370059,
421863,,Spot,5,Image 1,13,1000080712,370551,
237844,,Spot,5,Image 1,13,1000282868,370670,
385865,,Spot,5,Image 1,13,1000196749,370869,
364571,,Spot,5,Image 1,13,1000312915,371100,
1.06282e+06,,Spot,5,Image 1,13,1000111173,371189,
170102,,Spot,5,Image 1,13,1000371442,371442,
393347,,Spot,5,Image 1,13,1000226383,371745,
518531,,Spot,5,Image 1,13,1000027048,372095,
126505,,Spot,5,Image 1,13,1000373068,373068,
377721,,Spot,5,Image 1,13,1000026374,373583,
241027,,Spot,5,Image 1,13,1000026660,373869,
370971,,Spot,5,Image 1,13,1000199932,373973,
248509,,Spot,5,Image 1,13,1000257305,373980,
367353,,Spot,5,Image 1,13,1000024512,374152,
356445,,Spot,5,Image 1,13,1000260417,376655,
346267,,Spot,5,Image 1,13,1000260594,377159,
266662,,Spot,5,Image 1,13,1000145899,377817,
847418,,Spot,5,Image 1,13,1000232501,377823,
323997,,Spot,5,Image 1,13,1000290426,377828,
313958,,Spot,5,Image 1,14,1000290900,378365,
287585,,Spot,5,Image 1,14,1000320447,378573,
352256,,Spot,5,Image 1,14,1000178867,379911,
252507,,Spot,5,Image 1,14,1000034728,381380,
640361,,Spot,5,Image 1,14,1000354440,383368,
208906,,Spot,5,Image 1,14,1000354480,383405,
252692,,Spot,5,Image 1,14,1000327258,385098,
334352,,Spot,5,Image 1,14,1000385100,385100,
314062,,Spot,5,Image 1,14,1000008102,385535,
111434,,Spot,5,Image 1,14,1000244446,389772,
453428,,Spot,5,Image 1,14,1000014633,391286,
310033,,Spot,5,Image 1,14,1000275823,392500,
679666,,Spot,5,Image 1,14,1000218062,392581,
236505,,Spot,5,Image 1,14,1000221333,395328,
373759,,Spot,5,Image 1,14,1000278844,395431,
300250,,Spot,5,Image 1,14,1000224234,395980,
