
Intensity Center Ch=2 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,TrackID,ID,
19,,Spot,2,Image 1,8,1000014633,217248,
0,,Spot,2,Image 1,8,1000014915,217741,
0,,Spot,2,Image 1,8,1000218062,218062,
12,,Spot,2,Image 1,8,1000074239,218280,
54,,Spot,2,Image 1,8,1000018381,220701,
31,,Spot,2,Image 1,8,1000221333,221333,
0,,Spot,2,Image 1,8,1000019405,221685,
252,,Spot,2,Image 1,8,1000165097,222728,
45,,Spot,2,Image 1,8,1000136105,222780,
52,,Spot,2,Image 1,8,1000224234,224234,
45,,Spot,2,Image 1,8,1000224241,224241,
0,,Spot,2,Image 1,8,1000224431,224431,
0,,Spot,2,Image 1,8,1000135496,224496,
20,,Spot,2,Image 1,8,1000196023,224808,
0,,Spot,2,Image 1,8,1000138478,224884,
0,,Spot,2,Image 1,8,1000080712,224892,
0,,Spot,2,Image 1,8,1000196749,225577,
0,,Spot,2,Image 1,8,1000111173,225870,
251,,Spot,2,Image 1,8,1000082174,226025,
0,,Spot,2,Image 1,8,1000226383,226383,
0,,Spot,2,Image 1,8,1000026990,226673,
73,,Spot,2,Image 1,8,1000025863,228123,
31,,Spot,2,Image 1,8,1000026374,228289,
0,,Spot,2,Image 1,8,1000199932,228667,
0,,Spot,2,Image 1,8,1000024512,228832,
0,,Spot,2,Image 1,8,1000027245,228847,
0,,Spot,2,Image 1,8,1000027048,228921,
0,,Spot,2,Image 1,8,1000027656,229877,
81,,Spot,2,Image 1,8,1000026660,230497,
6,,Spot,2,Image 1,8,1000028860,230918,
0,,Spot,2,Image 1,8,1000058544,231336,
38,,Spot,2,Image 1,8,1000029962,231689,
36,,Spot,2,Image 1,8,1000117221,232329,
0,,Spot,2,Image 1,8,1000145899,232497,
0,,Spot,2,Image 1,8,1000232501,232501,
0,,Spot,2,Image 1,9,1000178867,236041,
85,,Spot,2,Image 1,9,1000034728,236229,
0,,Spot,2,Image 1,9,1000005575,237846,
0,,Spot,2,Image 1,9,1000094504,238096,
57,,Spot,2,Image 1,9,1000008102,240127,
0,,Spot,2,Image 1,9,1000071729,244439,
