
Track Intensity Center Mean Ch=2 Img=1
 ==================== 
Track Intensity Center Mean,Unit,Category,Channel,Image,ID,
27,,Track,2,Image 1,1002336484,
0,,Track,2,Image 1,1002360360,
0,,Track,2,Image 1,1002367218,
72.6667,,Track,2,Image 1,1002369367,
155.625,,Track,2,Image 1,1002382179,
0,,Track,2,Image 1,1002396861,
7.25,,Track,2,Image 1,1002402760,
64,,Track,2,Image 1,1002404222,
19.2857,,Track,2,Image 1,1002429210,
0,,Track,2,Image 1,1002435411,
0,,Track,2,Image 1,1002453328,
0,,Track,2,Image 1,1002454260,
0,,Track,2,Image 1,1002458180,
0,,Track,2,Image 1,1002460030,
210.167,,Track,2,Image 1,1002460974,
3,,Track,2,Image 1,1002461635,
0,,Track,2,Image 1,1002463724,
