
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
118,,Surface,3,Image 1,13,1000014536,14568,
138,,Surface,3,Image 1,13,1000014189,14569,
168,,Surface,3,Image 1,13,1000014470,14570,
70,,Surface,3,Image 1,13,1000014440,14571,
29,,Surface,3,Image 1,13,1000014438,14572,
91,,Surface,3,Image 1,13,1000014545,14573,
82,,Surface,3,Image 1,13,1000014412,14574,
98,,Surface,3,Image 1,13,1000014353,14575,
135,,Surface,3,Image 1,13,1000014414,14576,
136,,Surface,3,Image 1,13,1000014197,14577,
254,,Surface,3,Image 1,13,1000014199,14578,
58,,Surface,3,Image 1,13,1000014198,14579,
153,,Surface,3,Image 1,13,1000014200,14580,
134,,Surface,3,Image 1,13,1000014453,14581,
0,,Surface,3,Image 1,13,1000014582,14582,
103,,Surface,3,Image 1,13,1000014583,14583,
134,,Surface,3,Image 1,13,1000014584,14584,
107,,Surface,3,Image 1,13,1000014521,14585,
144,,Surface,3,Image 1,14,1000014586,14586,
79,,Surface,3,Image 1,14,1000014394,14587,
86,,Surface,3,Image 1,14,1000014556,14588,
91,,Surface,3,Image 1,14,1000014185,14589,
72,,Surface,3,Image 1,14,1000014493,14590,
152,,Surface,3,Image 1,14,1000014591,14591,
153,,Surface,3,Image 1,14,1000014299,14592,
70,,Surface,3,Image 1,14,1000014400,14593,
117,,Surface,3,Image 1,14,1000014465,14594,
147,,Surface,3,Image 1,14,1000014402,14595,
90,,Surface,3,Image 1,14,1000014501,14596,
158,,Surface,3,Image 1,14,1000014536,14597,
168,,Surface,3,Image 1,14,1000014189,14598,
214,,Surface,3,Image 1,14,1000014470,14599,
82,,Surface,3,Image 1,14,1000014440,14600,
99,,Surface,3,Image 1,14,1000014438,14601,
100,,Surface,3,Image 1,14,1000014545,14602,
117,,Surface,3,Image 1,14,1000014353,14603,
195,,Surface,3,Image 1,14,1000014414,14604,
165,,Surface,3,Image 1,14,1000014605,14605,
218,,Surface,3,Image 1,14,1000014197,14606,
174,,Surface,3,Image 1,14,1000014607,14607,
195,,Surface,3,Image 1,14,1000014199,14608,
95,,Surface,3,Image 1,14,1000014198,14609,
126,,Surface,3,Image 1,14,1000014200,14610,
160,,Surface,3,Image 1,14,1000014453,14611,
86,,Surface,3,Image 1,14,1000014582,14612,
112,,Surface,3,Image 1,14,1000014583,14613,
142,,Surface,3,Image 1,14,1000014584,14614,
74,,Surface,3,Image 1,14,1000014521,14615,
125,,Surface,3,Image 1,15,1000014185,14616,
62,,Surface,3,Image 1,15,1000014556,14617,
88,,Surface,3,Image 1,15,1000014394,14618,
115,,Surface,3,Image 1,15,1000014586,14619,
119,,Surface,3,Image 1,15,1000014493,14620,
91,,Surface,3,Image 1,15,1000014591,14621,
73,,Surface,3,Image 1,15,1000014400,14622,
133,,Surface,3,Image 1,15,1000014501,14623,
139,,Surface,3,Image 1,15,1000014536,14624,
94,,Surface,3,Image 1,15,1000014189,14625,
102,,Surface,3,Image 1,15,1000014626,14626,
64,,Surface,3,Image 1,15,1000014627,14627,
236,,Surface,3,Image 1,15,1000014470,14628,
60,,Surface,3,Image 1,15,1000014440,14629,
73,,Surface,3,Image 1,15,1000014545,14630,
83,,Surface,3,Image 1,15,1000014353,14631,
180,,Surface,3,Image 1,15,1000014605,14632,
195,,Surface,3,Image 1,15,1000014197,14633,
101,,Surface,3,Image 1,15,1000014607,14634,
114,,Surface,3,Image 1,15,1000014199,14635,
193,,Surface,3,Image 1,15,1000014200,14636,
70,,Surface,3,Image 1,15,1000014198,14637,
83,,Surface,3,Image 1,15,1000014453,14638,
111,,Surface,3,Image 1,15,1000014582,14639,
71,,Surface,3,Image 1,15,1000014583,14640,
129,,Surface,3,Image 1,15,1000014584,14641,
60,,Surface,3,Image 1,15,1000014521,14642,
114,,Surface,3,Image 1,16,1000014556,14643,
113,,Surface,3,Image 1,16,1000014185,14644,
89,,Surface,3,Image 1,16,1000014394,14645,
90,,Surface,3,Image 1,16,1000014586,14646,
101,,Surface,3,Image 1,16,1000014647,14647,
119,,Surface,3,Image 1,16,1000014648,14648,
86,,Surface,3,Image 1,16,1000014591,14649,
94,,Surface,3,Image 1,16,1000014493,14650,
117,,Surface,3,Image 1,16,1000014400,14651,
100,,Surface,3,Image 1,16,1000014501,14652,
101,,Surface,3,Image 1,16,1000014536,14653,
136,,Surface,3,Image 1,16,1000014189,14654,
85,,Surface,3,Image 1,16,1000014626,14655,
61,,Surface,3,Image 1,16,1000014656,14656,
71,,Surface,3,Image 1,16,1000014627,14657,
76,,Surface,3,Image 1,16,1000014658,14658,
76,,Surface,3,Image 1,16,1000014659,14659,
182,,Surface,3,Image 1,16,1000014470,14660,
89,,Surface,3,Image 1,16,1000014661,14661,
174,,Surface,3,Image 1,16,1000014545,14662,
101,,Surface,3,Image 1,16,1000014663,14663,
52,,Surface,3,Image 1,16,1000014353,14664,
152,,Surface,3,Image 1,16,1000014605,14665,
155,,Surface,3,Image 1,16,1000014197,14666,
59,,Surface,3,Image 1,16,1000014607,14667,
176,,Surface,3,Image 1,16,1000014668,14668,
251,,Surface,3,Image 1,16,1000014199,14669,
72,,Surface,3,Image 1,16,1000014198,14670,
164,,Surface,3,Image 1,16,1000014453,14671,
104,,Surface,3,Image 1,16,1000014582,14672,
77,,Surface,3,Image 1,16,1000014583,14673,
138,,Surface,3,Image 1,16,1000014584,14674,
60,,Surface,3,Image 1,16,1000014521,14675,
130,,Surface,3,Image 1,17,1000014676,14676,
64,,Surface,3,Image 1,17,1000014586,14677,
80,,Surface,3,Image 1,17,1000014394,14678,
132,,Surface,3,Image 1,17,1000014185,14679,
96,,Surface,3,Image 1,17,1000014648,14680,
82,,Surface,3,Image 1,17,1000014647,14681,
111,,Surface,3,Image 1,17,1000014591,14682,
197,,Surface,3,Image 1,17,1000014683,14683,
82,,Surface,3,Image 1,17,1000014501,14684,
99,,Surface,3,Image 1,17,1000014536,14685,
96,,Surface,3,Image 1,17,1000014686,14686,
48,,Surface,3,Image 1,17,1000014626,14687,
60,,Surface,3,Image 1,17,1000014627,14688,
60,,Surface,3,Image 1,17,1000014656,14689,
88,,Surface,3,Image 1,17,1000014658,14690,
