
Velocity Angle
 ==================== 
Velocity Angle X,Velocity Angle Y,Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
48.3197,104.563,134.694,°,Surface,Velocity Angle,7,1000014331,14365,
70.8842,101.999,157.181,°,Surface,Velocity Angle,7,1000014184,14366,
18.0888,72.3879,86.0179,°,Surface,Velocity Angle,7,1000014187,14367,
130.983,62.0977,53.6748,°,Surface,Velocity Angle,7,1000014261,14368,
54.7354,144.706,91.3105,°,Surface,Velocity Angle,7,1000014298,14369,
41.7182,112.251,56.8236,°,Surface,Velocity Angle,7,1000014299,14370,
9.21356,93.9679,81.6994,°,Surface,Velocity Angle,7,1000014207,14371,
13.279,83.6162,101.596,°,Surface,Velocity Angle,7,1000014233,14372,
130.363,44.8271,106.177,°,Surface,Velocity Angle,7,1000014302,14373,
85.5856,86.3898,174.294,°,Surface,Velocity Angle,7,1000014304,14374,
34.8123,55.1903,90.0027,°,Surface,Velocity Angle,7,1000014189,14375,
20.3801,92.6584,69.8117,°,Surface,Velocity Angle,7,1000014239,14376,
29.1244,60.8782,90.0027,°,Surface,Velocity Angle,7,1000014190,14377,
103.707,18.6188,77.6447,°,Surface,Velocity Angle,7,1000014212,14378,
68.3147,26.909,105.147,°,Surface,Velocity Angle,7,1000014275,14379,
31.7451,105.383,117.029,°,Surface,Velocity Angle,7,1000014193,14380,
13.7939,103.797,90.0027,°,Surface,Velocity Angle,7,1000014350,14381,
71.8061,161.809,90.0027,°,Surface,Velocity Angle,7,1000014216,14382,
47.8736,106.919,133.019,°,Surface,Velocity Angle,7,1000014218,14383,
51.2534,53.6169,59.5827,°,Surface,Velocity Angle,7,1000014353,14384,
59.5257,41.3858,115.095,°,Surface,Velocity Angle,7,1000014197,14385,
33.6911,56.3115,90.0027,°,Surface,Velocity Angle,7,1000014199,14386,
79.8107,46.3202,45.4768,°,Surface,Velocity Angle,7,1000014289,14387,
60.311,141.548,67.9102,°,Surface,Velocity Angle,7,1000014198,14388,
61.1928,151.195,90.0027,°,Surface,Velocity Angle,7,1000014288,14389,
13.496,93.1139,76.8834,°,Surface,Velocity Angle,7,1000014200,14390,
11.6595,101.662,90.0027,°,Surface,Velocity Angle,7,1000014201,14391,
92.6658,144.732,125.145,°,Surface,Velocity Angle,8,1000014184,14392,
71.1348,130.301,133.693,°,Surface,Velocity Angle,8,1000014331,14393,
134.686,125.161,114.656,°,Surface,Velocity Angle,8,1000014394,14394,
175.004,85.0013,90.0027,°,Surface,Velocity Angle,8,1000014329,14395,
123.502,120.235,131.667,°,Surface,Velocity Angle,8,1000014185,14396,
126.197,143.811,90.0027,°,Surface,Velocity Angle,8,1000014397,14397,
134.852,131.229,74.8471,°,Surface,Velocity Angle,8,1000014298,14398,
81.7217,133.516,44.7024,°,Surface,Velocity Angle,8,1000014299,14399,
157.313,106.485,74.849,°,Surface,Velocity Angle,8,1000014400,14400,
42.3458,132.011,85.6138,°,Surface,Velocity Angle,8,1000014233,14401,
142.522,98.7565,126.102,°,Surface,Velocity Angle,8,1000014402,14402,
136.104,65.6872,123.915,°,Surface,Velocity Angle,8,1000014302,14403,
87.6071,126.242,143.661,°,Surface,Velocity Angle,8,1000014304,14404,
52.1073,142.006,87.6027,°,Surface,Velocity Angle,8,1000014189,14405,
55.0406,108.014,40.627,°,Surface,Velocity Angle,8,1000014239,14406,
90.0027,90.0027,90.0027,°,Surface,Velocity Angle,8,1000014407,14407,
144.155,111.972,116.785,°,Surface,Velocity Angle,8,1000014193,14408,
67.8514,157.854,90.0027,°,Surface,Velocity Angle,8,1000014350,14409,
50.7505,39.2521,90.0027,°,Surface,Velocity Angle,8,1000014216,14410,
40.1058,130.015,92.2982,°,Surface,Velocity Angle,8,1000014218,14411,
135.629,125.209,66.6805,°,Surface,Velocity Angle,8,1000014412,14412,
48.939,41.8156,83.4501,°,Surface,Velocity Angle,8,1000014353,14413,
121.993,147.789,93.4195,°,Surface,Velocity Angle,8,1000014414,14414,
54.2761,105.395,39.897,°,Surface,Velocity Angle,8,1000014197,14415,
124.882,72.0077,139.467,°,Surface,Velocity Angle,8,1000014289,14416,
90.0027,180.005,90.0027,°,Surface,Velocity Angle,8,1000014199,14417,
98.2264,165.445,78.0713,°,Surface,Velocity Angle,8,1000014198,14418,
35.1101,124.373,96.3141,°,Surface,Velocity Angle,8,1000014200,14419,
54.9894,140.986,105.022,°,Surface,Velocity Angle,8,1000014201,14420,
