
Track Ar1 Mean
 ==================== 
Track Ar1 Mean,Unit,Category,ID,
-0.543595,,Track,1000015593,
-0.501586,,Track,1000015622,
-0.237926,,Track,1000015630,
-0.038966,,Track,1000015650,
-0.448662,,Track,1000015674,
-0.374685,,Track,1000015675,
-0.0569666,,Track,1000015678,
-0.248165,,Track,1000015680,
-0.418749,,Track,1000015682,
0.0903866,,Track,1000015700,
-0.225529,,Track,1000015706,
-0.437379,,Track,1000015719,
-0.294688,,Track,1000015724,
-0.286788,,Track,1000015726,
-0.392986,,Track,1000015727,
-0.27769,,Track,1000015732,
-0.258976,,Track,1000015744,
-0.322201,,Track,1000015750,
-0.456647,,Track,1000015752,
-0.446298,,Track,1000015753,
-0.328193,,Track,1000015756,
-0.357738,,Track,1000015758,
-0.485313,,Track,1000015767,
-0.409752,,Track,1000015768,
-0.42996,,Track,1000015772,
-0.597901,,Track,1000015781,
-0.0649354,,Track,1000015782,
0.0577715,,Track,1000015808,
-0.231187,,Track,1000015810,
-0.521566,,Track,1000015856,
0.00411137,,Track,1000015857,
0.0280495,,Track,1000015872,
-0.0697249,,Track,1000015881,
-0.263037,,Track,1000015885,
-0.202243,,Track,1000015891,
-0.290502,,Track,1000015910,
-0.431096,,Track,1000015931,
-0.265913,,Track,1000015937,
-0.0359172,,Track,1000015951,
-0.386045,,Track,1000015960,
-0.511761,,Track,1000015964,
-0.291523,,Track,1000015975,
-0.562048,,Track,1000015996,
-0.518719,,Track,1000016009,
-0.259585,,Track,1000016017,
-0.0256349,,Track,1000016024,
-0.330261,,Track,1000016031,
-0.467594,,Track,1000016045,
-0.411878,,Track,1000016051,
-0.269042,,Track,1000016052,
-0.463376,,Track,1000016073,
-0.0481075,,Track,1000016077,
-0.194681,,Track,1000016083,
-0.372999,,Track,1000016095,
-0.283289,,Track,1000016100,
-0.345913,,Track,1000016102,
-0.348398,,Track,1000016107,
-0.188363,,Track,1000016109,
-0.219057,,Track,1000016117,
-0.420286,,Track,1000016143,
-0.214496,,Track,1000016167,
-0.699987,,Track,1000016188,
-0.423366,,Track,1000016195,
-0.351119,,Track,1000016200,
-0.324115,,Track,1000016214,
-0.228364,,Track,1000016218,
-0.358421,,Track,1000016223,
-0.634001,,Track,1000016232,
-0.137782,,Track,1000016233,
-0.477283,,Track,1000016235,
-0.520265,,Track,1000016250,
-0.234908,,Track,1000016259,
-0.367009,,Track,1000016275,
-0.382765,,Track,1000016281,
-0.0846023,,Track,1000016292,
-0.61259,,Track,1000016299,
-0.41107,,Track,1000016304,
-0.252184,,Track,1000016316,
-0.138378,,Track,1000016320,
-0.386924,,Track,1000016332,
-0.113977,,Track,1000016337,
-0.501415,,Track,1000016338,
-0.190518,,Track,1000016342,
-0.29637,,Track,1000016354,
-0.241795,,Track,1000016357,
-0.383179,,Track,1000016360,
-0.385893,,Track,1000016381,
-0.454298,,Track,1000016386,
-0.487906,,Track,1000016390,
-0.391269,,Track,1000016397,
-0.0501601,,Track,1000016402,
-0.411328,,Track,1000016404,
-0.29899,,Track,1000016415,
-0.464298,,Track,1000016419,
-0.274529,,Track,1000016423,
-0.329372,,Track,1000016426,
-0.138274,,Track,1000016430,
-0.592687,,Track,1000016436,
