
Volume
 ==================== 
Volume,Unit,Category,Time,TrackID,ID,
1.42492,um^3,Surface,40,1000015450,15533,
9.71838,um^3,Surface,40,1000015219,15534,
42.9484,um^3,Surface,40,1000015145,15535,
41.2949,um^3,Surface,40,1000015536,15536,
46.744,um^3,Surface,40,1000015407,15537,
36.1976,um^3,Surface,40,1000015455,15538,
3.19688,um^3,Surface,40,1000015497,15539,
3.22932,um^3,Surface,40,1000015021,15540,
2.33722,um^3,Surface,40,1000015541,15541,
56.92,um^3,Surface,40,1000014659,15542,
59.8736,um^3,Surface,40,1000015502,15543,
9.7793,um^3,Surface,40,1000015370,15544,
9.30493,um^3,Surface,40,1000015461,15545,
2.46319,um^3,Surface,40,1000015415,15546,
57.959,um^3,Surface,40,1000015503,15547,
5.90733,um^3,Surface,40,1000015279,15548,
18.8669,um^3,Surface,40,1000015508,15549,
47.4497,um^3,Surface,40,1000015280,15550,
12.2118,um^3,Surface,40,1000015421,15551,
20.1828,um^3,Surface,40,1000015237,15552,
20.2048,um^3,Surface,40,1000015377,15553,
15.6775,um^3,Surface,40,1000015029,15554,
7.92734,um^3,Surface,40,1000015240,15555,
23.0031,um^3,Surface,40,1000015516,15556,
2.9049,um^3,Surface,40,1000015557,15557,
13.3225,um^3,Surface,40,1000015096,15558,
8.29886,um^3,Surface,40,1000015290,15559,
16.5947,um^3,Surface,40,1000015293,15560,
13.4569,um^3,Surface,40,1000015097,15561,
76.1438,um^3,Surface,40,1000015477,15562,
82.4856,um^3,Surface,40,1000015432,15563,
3.98869,um^3,Surface,41,1000015174,15564,
101.302,um^3,Surface,41,1000015251,15565,
6.29769,um^3,Surface,41,1000015394,15566,
6.00615,um^3,Surface,41,1000015443,15567,
20.8955,um^3,Surface,41,1000015525,15568,
15.505,um^3,Surface,41,1000015388,15569,
13.4043,um^3,Surface,41,1000015348,15570,
20.149,um^3,Surface,41,1000015072,15571,
74.4657,um^3,Surface,41,1000015213,15572,
1.5448,um^3,Surface,41,1000015219,15573,
4.46868,um^3,Surface,41,1000015450,15574,
45.7841,um^3,Surface,41,1000015145,15575,
41.428,um^3,Surface,41,1000015536,15576,
13.5605,um^3,Surface,41,1000015455,15577,
54.2476,um^3,Surface,41,1000015407,15578,
2.3546,um^3,Surface,41,1000015497,15579,
32.7224,um^3,Surface,41,1000014659,15580,
8.35252,um^3,Surface,41,1000015021,15581,
7.48155,um^3,Surface,41,1000015541,15582,
40.349,um^3,Surface,41,1000015503,15583,
1.57351,um^3,Surface,41,1000015370,15584,
1.98257,um^3,Surface,41,1000015461,15585,
38.3031,um^3,Surface,41,1000015502,15586,
9.5306,um^3,Surface,41,1000015279,15587,
19.5911,um^3,Surface,41,1000015508,15588,
30.6669,um^3,Surface,41,1000015280,15589,
1.76482,um^3,Surface,41,1000015590,15590,
47.6868,um^3,Surface,41,1000015591,15591,
1.16874,um^3,Surface,41,1000015237,15592,
11.0302,um^3,Surface,41,1000015593,15593,
16.6604,um^3,Surface,41,1000015377,15594,
4.15022,um^3,Surface,41,1000015029,15595,
13.6819,um^3,Surface,41,1000015240,15596,
17.6371,um^3,Surface,41,1000015516,15597,
4.1838,um^3,Surface,41,1000015557,15598,
8.18516,um^3,Surface,41,1000015096,15599,
15.8704,um^3,Surface,41,1000015293,15600,
4.36859,um^3,Surface,41,1000015290,15601,
20.2078,um^3,Surface,41,1000015097,15602,
91.8495,um^3,Surface,41,1000015477,15603,
1.52655,um^3,Surface,41,1000015432,15604,
97.9964,um^3,Surface,42,1000015251,15605,
10.1754,um^3,Surface,42,1000015443,15606,
11.3839,um^3,Surface,42,1000015394,15607,
57.3131,um^3,Surface,42,1000015525,15608,
8.09342,um^3,Surface,42,1000015388,15609,
28.0193,um^3,Surface,42,1000015072,15610,
2.23154,um^3,Surface,42,1000015174,15611,
48.6655,um^3,Surface,42,1000015213,15612,
9.9771,um^3,Surface,42,1000015450,15613,
45.9455,um^3,Surface,42,1000015145,15614,
47.3321,um^3,Surface,42,1000015536,15615,
11.1767,um^3,Surface,42,1000015455,15616,
45.2596,um^3,Surface,42,1000015407,15617,
1.32878,um^3,Surface,42,1000015497,15618,
38.0743,um^3,Surface,42,1000014659,15619,
6.57609,um^3,Surface,42,1000015021,15620,
6.24201,um^3,Surface,42,1000015541,15621,
23.5251,um^3,Surface,42,1000015622,15622,
8.97239,um^3,Surface,42,1000015503,15623,
1.261,um^3,Surface,42,1000015461,15624,
85.2741,um^3,Surface,42,1000015502,15625,
12.3888,um^3,Surface,42,1000015279,15626,
35.1814,um^3,Surface,42,1000015280,15627,
4.16734,um^3,Surface,42,1000015508,15628,
