
Intensity Mean Ch=4 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
14.125,,Surface,4,Image 1,8,1000014197,14415,
28.6,,Surface,4,Image 1,8,1000014289,14416,
133.125,,Surface,4,Image 1,8,1000014199,14417,
28.7027,,Surface,4,Image 1,8,1000014198,14418,
12.2222,,Surface,4,Image 1,8,1000014200,14419,
11.0909,,Surface,4,Image 1,8,1000014201,14420,
29.4444,,Surface,4,Image 1,9,1000014298,14421,
35.5556,,Surface,4,Image 1,9,1000014422,14422,
0,,Surface,4,Image 1,9,1000014397,14423,
21.4444,,Surface,4,Image 1,9,1000014184,14424,
45.5806,,Surface,4,Image 1,9,1000014394,14425,
0,,Surface,4,Image 1,9,1000014331,14426,
1.16667,,Surface,4,Image 1,9,1000014329,14427,
25.1364,,Surface,4,Image 1,9,1000014185,14428,
36.9,,Surface,4,Image 1,9,1000014299,14429,
0.928571,,Surface,4,Image 1,9,1000014430,14430,
11.4915,,Surface,4,Image 1,9,1000014400,14431,
167.889,,Surface,4,Image 1,9,1000014402,14432,
18.8667,,Surface,4,Image 1,9,1000014433,14433,
6,,Surface,4,Image 1,9,1000014304,14434,
1.23529,,Surface,4,Image 1,9,1000014189,14435,
9.2,,Surface,4,Image 1,9,1000014436,14436,
27.5,,Surface,4,Image 1,9,1000014407,14437,
31.75,,Surface,4,Image 1,9,1000014438,14438,
0,,Surface,4,Image 1,9,1000014439,14439,
82.1905,,Surface,4,Image 1,9,1000014440,14440,
8.3,,Surface,4,Image 1,9,1000014193,14441,
14.4839,,Surface,4,Image 1,9,1000014350,14442,
2.17647,,Surface,4,Image 1,9,1000014412,14443,
4.2,,Surface,4,Image 1,9,1000014353,14444,
35.5714,,Surface,4,Image 1,9,1000014414,14445,
38.6667,,Surface,4,Image 1,9,1000014197,14446,
32.1786,,Surface,4,Image 1,9,1000014447,14447,
54.3333,,Surface,4,Image 1,9,1000014199,14448,
15.75,,Surface,4,Image 1,9,1000014289,14449,
32.8889,,Surface,4,Image 1,9,1000014198,14450,
8.14286,,Surface,4,Image 1,9,1000014200,14451,
24,,Surface,4,Image 1,9,1000014201,14452,
44.2778,,Surface,4,Image 1,9,1000014453,14453,
12.6667,,Surface,4,Image 1,10,1000014430,14454,
32.9091,,Surface,4,Image 1,10,1000014298,14455,
38.625,,Surface,4,Image 1,10,1000014422,14456,
3.06667,,Surface,4,Image 1,10,1000014397,14457,
27.8571,,Surface,4,Image 1,10,1000014184,14458,
0,,Surface,4,Image 1,10,1000014459,14459,
42.8649,,Surface,4,Image 1,10,1000014394,14460,
0.703704,,Surface,4,Image 1,10,1000014331,14461,
12.9091,,Surface,4,Image 1,10,1000014185,14462,
32.8,,Surface,4,Image 1,10,1000014299,14463,
8.66667,,Surface,4,Image 1,10,1000014400,14464,
9.66667,,Surface,4,Image 1,10,1000014465,14465,
150.083,,Surface,4,Image 1,10,1000014402,14466,
28.9091,,Surface,4,Image 1,10,1000014433,14467,
1.72727,,Surface,4,Image 1,10,1000014189,14468,
7.44828,,Surface,4,Image 1,10,1000014436,14469,
143.25,,Surface,4,Image 1,10,1000014470,14470,
13.25,,Surface,4,Image 1,10,1000014407,14471,
65.2,,Surface,4,Image 1,10,1000014438,14472,
0.318182,,Surface,4,Image 1,10,1000014439,14473,
74.7333,,Surface,4,Image 1,10,1000014440,14474,
21.1622,,Surface,4,Image 1,10,1000014193,14475,
19.2308,,Surface,4,Image 1,10,1000014350,14476,
1.33333,,Surface,4,Image 1,10,1000014412,14477,
7.66667,,Surface,4,Image 1,10,1000014353,14478,
65.5882,,Surface,4,Image 1,10,1000014414,14479,
65,,Surface,4,Image 1,10,1000014197,14480,
12.6552,,Surface,4,Image 1,10,1000014447,14481,
26.6,,Surface,4,Image 1,10,1000014199,14482,
38.6087,,Surface,4,Image 1,10,1000014198,14483,
6.19231,,Surface,4,Image 1,10,1000014200,14484,
43,,Surface,4,Image 1,10,1000014201,14485,
55.8958,,Surface,4,Image 1,10,1000014453,14486,
9.8,,Surface,4,Image 1,11,1000014465,14487,
2.38095,,Surface,4,Image 1,11,1000014400,14488,
29.1111,,Surface,4,Image 1,11,1000014298,14489,
36.5833,,Surface,4,Image 1,11,1000014299,14490,
19.6,,Surface,4,Image 1,11,1000014430,14491,
53.375,,Surface,4,Image 1,11,1000014422,14492,
0.166667,,Surface,4,Image 1,11,1000014493,14493,
0,,Surface,4,Image 1,11,1000014397,14494,
22.875,,Surface,4,Image 1,11,1000014184,14495,
0,,Surface,4,Image 1,11,1000014459,14496,
40.5625,,Surface,4,Image 1,11,1000014394,14497,
0.333333,,Surface,4,Image 1,11,1000014331,14498,
16.1304,,Surface,4,Image 1,11,1000014185,14499,
125,,Surface,4,Image 1,11,1000014402,14500,
124.143,,Surface,4,Image 1,11,1000014501,14501,
12.3,,Surface,4,Image 1,11,1000014433,14502,
2.66667,,Surface,4,Image 1,11,1000014189,14503,
6,,Surface,4,Image 1,11,1000014436,14504,
140,,Surface,4,Image 1,11,1000014470,14505,
15.75,,Surface,4,Image 1,11,1000014407,14506,
46.125,,Surface,4,Image 1,11,1000014438,14507,
0.323529,,Surface,4,Image 1,11,1000014439,14508,
132.514,,Surface,4,Image 1,11,1000014440,14509,
15.8667,,Surface,4,Image 1,11,1000014193,14510,
21.3385,,Surface,4,Image 1,11,1000014350,14511,
5,,Surface,4,Image 1,11,1000014412,14512,
1.71429,,Surface,4,Image 1,11,1000014353,14513,
33.8,,Surface,4,Image 1,11,1000014414,14514,
23,,Surface,4,Image 1,11,1000014197,14515,
