
Intensity Max Ch=6 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,TrackID,ID,
255,,Surface,6,Image 1,15,1000014394,14618,
254,,Surface,6,Image 1,15,1000014586,14619,
254,,Surface,6,Image 1,15,1000014493,14620,
254,,Surface,6,Image 1,15,1000014591,14621,
255,,Surface,6,Image 1,15,1000014400,14622,
239,,Surface,6,Image 1,15,1000014501,14623,
228,,Surface,6,Image 1,15,1000014536,14624,
220,,Surface,6,Image 1,15,1000014189,14625,
171,,Surface,6,Image 1,15,1000014626,14626,
254,,Surface,6,Image 1,15,1000014627,14627,
255,,Surface,6,Image 1,15,1000014470,14628,
197,,Surface,6,Image 1,15,1000014440,14629,
255,,Surface,6,Image 1,15,1000014545,14630,
255,,Surface,6,Image 1,15,1000014353,14631,
254,,Surface,6,Image 1,15,1000014605,14632,
255,,Surface,6,Image 1,15,1000014197,14633,
254,,Surface,6,Image 1,15,1000014607,14634,
255,,Surface,6,Image 1,15,1000014199,14635,
254,,Surface,6,Image 1,15,1000014200,14636,
255,,Surface,6,Image 1,15,1000014198,14637,
255,,Surface,6,Image 1,15,1000014453,14638,
254,,Surface,6,Image 1,15,1000014582,14639,
255,,Surface,6,Image 1,15,1000014583,14640,
254,,Surface,6,Image 1,15,1000014584,14641,
202,,Surface,6,Image 1,15,1000014521,14642,
184,,Surface,6,Image 1,16,1000014556,14643,
235,,Surface,6,Image 1,16,1000014185,14644,
255,,Surface,6,Image 1,16,1000014394,14645,
254,,Surface,6,Image 1,16,1000014586,14646,
187,,Surface,6,Image 1,16,1000014647,14647,
216,,Surface,6,Image 1,16,1000014648,14648,
254,,Surface,6,Image 1,16,1000014591,14649,
207,,Surface,6,Image 1,16,1000014493,14650,
254,,Surface,6,Image 1,16,1000014400,14651,
254,,Surface,6,Image 1,16,1000014501,14652,
236,,Surface,6,Image 1,16,1000014536,14653,
225,,Surface,6,Image 1,16,1000014189,14654,
215,,Surface,6,Image 1,16,1000014626,14655,
183,,Surface,6,Image 1,16,1000014656,14656,
