
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,TrackID,ID,
0.849813,,Surface,25,1000014964,14964,
0.877572,,Surface,25,1000014607,14965,
0.770592,,Surface,25,1000014966,14966,
0.845698,,Surface,25,1000014199,14967,
0.794231,,Surface,25,1000014198,14968,
0.862443,,Surface,25,1000014732,14969,
0.86034,,Surface,26,1000014185,14970,
0.95277,,Surface,26,1000014939,14971,
0.7901,,Surface,26,1000014938,14972,
0.862903,,Surface,26,1000014909,14973,
0.832789,,Surface,26,1000014676,14974,
0.889258,,Surface,26,1000014943,14975,
0.925888,,Surface,26,1000014648,14976,
0.798498,,Surface,26,1000014591,14977,
0.812456,,Surface,26,1000014809,14978,
0.826876,,Surface,26,1000014948,14979,
0.873177,,Surface,26,1000014846,14980,
0.893155,,Surface,26,1000014981,14981,
0.708811,,Surface,26,1000014950,14982,
0.763503,,Surface,26,1000014918,14983,
0.884875,,Surface,26,1000014686,14984,
0.925704,,Surface,26,1000014887,14985,
0.681502,,Surface,26,1000014852,14986,
0.809897,,Surface,26,1000014775,14987,
0.844778,,Surface,26,1000014956,14988,
0.882077,,Surface,26,1000014470,14989,
0.868364,,Surface,26,1000014659,14990,
0.766541,,Surface,26,1000014991,14991,
0.932472,,Surface,26,1000014926,14992,
0.777572,,Surface,26,1000014783,14993,
0.798594,,Surface,26,1000014752,14994,
0.856536,,Surface,26,1000014353,14995,
0.797333,,Surface,26,1000014964,14996,
0.60273,,Surface,26,1000014966,14997,
0.914894,,Surface,26,1000014199,14998,
0.846726,,Surface,26,1000014198,14999,
0.887374,,Surface,26,1000015000,15000,
0.933737,,Surface,26,1000014732,15001,
0.878244,,Surface,27,1000014943,15002,
0.841787,,Surface,27,1000014676,15003,
0.879724,,Surface,27,1000014909,15004,
0.878804,,Surface,27,1000014938,15005,
0.857462,,Surface,27,1000014939,15006,
0.82229,,Surface,27,1000015007,15007,
0.705363,,Surface,27,1000014591,15008,
0.71497,,Surface,27,1000015009,15009,
0.847458,,Surface,27,1000014809,15010,
0.867469,,Surface,27,1000014948,15011,
0.892281,,Surface,27,1000015012,15012,
0.859973,,Surface,27,1000014981,15013,
0.799137,,Surface,27,1000014918,15014,
0.71245,,Surface,27,1000014950,15015,
0.817408,,Surface,27,1000014887,15016,
0.817599,,Surface,27,1000014852,15017,
0.835897,,Surface,27,1000014956,15018,
0.73984,,Surface,27,1000014470,15019,
0.859786,,Surface,27,1000014659,15020,
0.888198,,Surface,27,1000015021,15021,
0.866882,,Surface,27,1000015022,15022,
0.838106,,Surface,27,1000014991,15023,
0.933551,,Surface,27,1000014926,15024,
0.924722,,Surface,27,1000014783,15025,
0.705485,,Surface,27,1000014752,15026,
0.876808,,Surface,27,1000015027,15027,
0.840357,,Surface,27,1000014964,15028,
0.846995,,Surface,27,1000015029,15029,
0.892125,,Surface,27,1000015030,15030,
0.924391,,Surface,27,1000014966,15031,
0.919171,,Surface,27,1000014199,15032,
0.757601,,Surface,27,1000014198,15033,
0.751827,,Surface,27,1000015000,15034,
