
Track Intensity Sum Ch=6 Img=1
 ==================== 
Track Intensity Sum,Unit,Category,Channel,Image,ID,
10309,,Track,6,Image 1,1000016259,
8561,,Track,6,Image 1,1000016275,
9722,,Track,6,Image 1,1000016281,
15507,,Track,6,Image 1,1000016292,
62225,,Track,6,Image 1,1000016299,
22725,,Track,6,Image 1,1000016304,
6488,,Track,6,Image 1,1000016316,
26897,,Track,6,Image 1,1000016320,
39021,,Track,6,Image 1,1000016332,
10185,,Track,6,Image 1,1000016337,
16818,,Track,6,Image 1,1000016338,
18088,,Track,6,Image 1,1000016342,
13748,,Track,6,Image 1,1000016354,
7817,,Track,6,Image 1,1000016357,
32003,,Track,6,Image 1,1000016360,
9719,,Track,6,Image 1,1000016381,
19727,,Track,6,Image 1,1000016386,
7622,,Track,6,Image 1,1000016390,
29909,,Track,6,Image 1,1000016397,
31754,,Track,6,Image 1,1000016402,
6078,,Track,6,Image 1,1000016404,
7791,,Track,6,Image 1,1000016415,
11442,,Track,6,Image 1,1000016419,
18501,,Track,6,Image 1,1000016423,
6253,,Track,6,Image 1,1000016426,
26916,,Track,6,Image 1,1000016430,
44111,,Track,6,Image 1,1000016436,
8537,,Track,6,Image 1,1000016453,
63550,,Track,6,Image 1,1000016466,
21554,,Track,6,Image 1,1000016468,
8837,,Track,6,Image 1,1000016474,
10538,,Track,6,Image 1,1000016475,
28514,,Track,6,Image 1,1000016485,
10798,,Track,6,Image 1,1000016504,
14897,,Track,6,Image 1,1000016508,
5340,,Track,6,Image 1,1000016512,
9436,,Track,6,Image 1,1000016521,
12987,,Track,6,Image 1,1000016531,
55495,,Track,6,Image 1,1000016534,
8371,,Track,6,Image 1,1000016542,
3065,,Track,6,Image 1,1000016585,
12064,,Track,6,Image 1,1000016590,
17172,,Track,6,Image 1,1000016591,
13074,,Track,6,Image 1,1000016603,
13427,,Track,6,Image 1,1000016609,
6416,,Track,6,Image 1,1000016611,
31657,,Track,6,Image 1,1000016612,
11370,,Track,6,Image 1,1000016623,
40575,,Track,6,Image 1,1000016626,
6033,,Track,6,Image 1,1000016639,
4241,,Track,6,Image 1,1000016641,
61265,,Track,6,Image 1,1000016643,
16712,,Track,6,Image 1,1000016665,
25729,,Track,6,Image 1,1000016666,
14708,,Track,6,Image 1,1000016674,
13565,,Track,6,Image 1,1000016677,
21732,,Track,6,Image 1,1000016700,
5593,,Track,6,Image 1,1000016703,
11614,,Track,6,Image 1,1000016708,
