
Time
 ==================== 
Time,Unit,Category,Time,TrackID,ID,
347.453,s,Surface,10,1000014453,14486,
386.082,s,Surface,11,1000014465,14487,
386.082,s,Surface,11,1000014400,14488,
386.082,s,Surface,11,1000014298,14489,
386.082,s,Surface,11,1000014299,14490,
386.082,s,Surface,11,1000014430,14491,
386.082,s,Surface,11,1000014422,14492,
386.082,s,Surface,11,1000014493,14493,
386.082,s,Surface,11,1000014397,14494,
386.082,s,Surface,11,1000014184,14495,
386.082,s,Surface,11,1000014459,14496,
386.082,s,Surface,11,1000014394,14497,
386.082,s,Surface,11,1000014331,14498,
386.082,s,Surface,11,1000014185,14499,
386.082,s,Surface,11,1000014402,14500,
386.082,s,Surface,11,1000014501,14501,
386.082,s,Surface,11,1000014433,14502,
386.082,s,Surface,11,1000014189,14503,
386.082,s,Surface,11,1000014436,14504,
386.082,s,Surface,11,1000014470,14505,
386.082,s,Surface,11,1000014407,14506,
386.082,s,Surface,11,1000014438,14507,
386.082,s,Surface,11,1000014439,14508,
386.082,s,Surface,11,1000014440,14509,
386.082,s,Surface,11,1000014193,14510,
386.082,s,Surface,11,1000014350,14511,
386.082,s,Surface,11,1000014412,14512,
386.082,s,Surface,11,1000014353,14513,
386.082,s,Surface,11,1000014414,14514,
386.082,s,Surface,11,1000014197,14515,
386.082,s,Surface,11,1000014199,14516,
386.082,s,Surface,11,1000014198,14517,
386.082,s,Surface,11,1000014447,14518,
386.082,s,Surface,11,1000014200,14519,
386.082,s,Surface,11,1000014453,14520,
386.082,s,Surface,11,1000014521,14521,
424.756,s,Surface,12,1000014394,14522,
424.756,s,Surface,12,1000014331,14523,
424.756,s,Surface,12,1000014185,14524,
424.756,s,Surface,12,1000014459,14525,
424.756,s,Surface,12,1000014397,14526,
424.756,s,Surface,12,1000014493,14527,
424.756,s,Surface,12,1000014422,14528,
424.756,s,Surface,12,1000014430,14529,
424.756,s,Surface,12,1000014299,14530,
424.756,s,Surface,12,1000014400,14531,
424.756,s,Surface,12,1000014465,14532,
424.756,s,Surface,12,1000014402,14533,
424.756,s,Surface,12,1000014433,14534,
424.756,s,Surface,12,1000014501,14535,
424.756,s,Surface,12,1000014536,14536,
424.756,s,Surface,12,1000014189,14537,
424.756,s,Surface,12,1000014436,14538,
424.756,s,Surface,12,1000014470,14539,
424.756,s,Surface,12,1000014407,14540,
424.756,s,Surface,12,1000014439,14541,
424.756,s,Surface,12,1000014440,14542,
424.756,s,Surface,12,1000014438,14543,
424.756,s,Surface,12,1000014193,14544,
424.756,s,Surface,12,1000014545,14545,
424.756,s,Surface,12,1000014353,14546,
424.756,s,Surface,12,1000014412,14547,
424.756,s,Surface,12,1000014414,14548,
424.756,s,Surface,12,1000014197,14549,
424.756,s,Surface,12,1000014199,14550,
424.756,s,Surface,12,1000014447,14551,
424.756,s,Surface,12,1000014198,14552,
424.756,s,Surface,12,1000014200,14553,
424.756,s,Surface,12,1000014453,14554,
424.756,s,Surface,12,1000014521,14555,
463.378,s,Surface,13,1000014556,14556,
463.378,s,Surface,13,1000014185,14557,
463.378,s,Surface,13,1000014331,14558,
463.378,s,Surface,13,1000014394,14559,
463.378,s,Surface,13,1000014459,14560,
463.378,s,Surface,13,1000014397,14561,
463.378,s,Surface,13,1000014493,14562,
463.378,s,Surface,13,1000014299,14563,
463.378,s,Surface,13,1000014400,14564,
463.378,s,Surface,13,1000014465,14565,
463.378,s,Surface,13,1000014402,14566,
463.378,s,Surface,13,1000014501,14567,
463.378,s,Surface,13,1000014536,14568,
463.378,s,Surface,13,1000014189,14569,
463.378,s,Surface,13,1000014470,14570,
463.378,s,Surface,13,1000014440,14571,
463.378,s,Surface,13,1000014438,14572,
463.378,s,Surface,13,1000014545,14573,
463.378,s,Surface,13,1000014412,14574,
463.378,s,Surface,13,1000014353,14575,
463.378,s,Surface,13,1000014414,14576,
463.378,s,Surface,13,1000014197,14577,
463.378,s,Surface,13,1000014199,14578,
463.378,s,Surface,13,1000014198,14579,
463.378,s,Surface,13,1000014200,14580,
463.378,s,Surface,13,1000014453,14581,
463.378,s,Surface,13,1000014582,14582,
463.378,s,Surface,13,1000014583,14583,
463.378,s,Surface,13,1000014584,14584,
463.378,s,Surface,13,1000014521,14585,
501.918,s,Surface,14,1000014586,14586,
501.918,s,Surface,14,1000014394,14587,
501.918,s,Surface,14,1000014556,14588,
501.918,s,Surface,14,1000014185,14589,
501.918,s,Surface,14,1000014493,14590,
501.918,s,Surface,14,1000014591,14591,
501.918,s,Surface,14,1000014299,14592,
501.918,s,Surface,14,1000014400,14593,
501.918,s,Surface,14,1000014465,14594,
501.918,s,Surface,14,1000014402,14595,
501.918,s,Surface,14,1000014501,14596,
501.918,s,Surface,14,1000014536,14597,
501.918,s,Surface,14,1000014189,14598,
501.918,s,Surface,14,1000014470,14599,
501.918,s,Surface,14,1000014440,14600,
501.918,s,Surface,14,1000014438,14601,
501.918,s,Surface,14,1000014545,14602,
501.918,s,Surface,14,1000014353,14603,
501.918,s,Surface,14,1000014414,14604,
501.918,s,Surface,14,1000014605,14605,
501.918,s,Surface,14,1000014197,14606,
501.918,s,Surface,14,1000014607,14607,
501.918,s,Surface,14,1000014199,14608,
501.918,s,Surface,14,1000014198,14609,
501.918,s,Surface,14,1000014200,14610,
501.918,s,Surface,14,1000014453,14611,
501.918,s,Surface,14,1000014582,14612,
501.918,s,Surface,14,1000014583,14613,
501.918,s,Surface,14,1000014584,14614,
501.918,s,Surface,14,1000014521,14615,
540.908,s,Surface,15,1000014185,14616,
540.908,s,Surface,15,1000014556,14617,
540.908,s,Surface,15,1000014394,14618,
540.908,s,Surface,15,1000014586,14619,
540.908,s,Surface,15,1000014493,14620,
540.908,s,Surface,15,1000014591,14621,
540.908,s,Surface,15,1000014400,14622,
540.908,s,Surface,15,1000014501,14623,
540.908,s,Surface,15,1000014536,14624,
540.908,s,Surface,15,1000014189,14625,
540.908,s,Surface,15,1000014626,14626,
540.908,s,Surface,15,1000014627,14627,
540.908,s,Surface,15,1000014470,14628,
540.908,s,Surface,15,1000014440,14629,
540.908,s,Surface,15,1000014545,14630,
540.908,s,Surface,15,1000014353,14631,
540.908,s,Surface,15,1000014605,14632,
540.908,s,Surface,15,1000014197,14633,
540.908,s,Surface,15,1000014607,14634,
540.908,s,Surface,15,1000014199,14635,
540.908,s,Surface,15,1000014200,14636,
540.908,s,Surface,15,1000014198,14637,
540.908,s,Surface,15,1000014453,14638,
540.908,s,Surface,15,1000014582,14639,
540.908,s,Surface,15,1000014583,14640,
540.908,s,Surface,15,1000014584,14641,
540.908,s,Surface,15,1000014521,14642,
579.459,s,Surface,16,1000014556,14643,
579.459,s,Surface,16,1000014185,14644,
579.459,s,Surface,16,1000014394,14645,
579.459,s,Surface,16,1000014586,14646,
579.459,s,Surface,16,1000014647,14647,
579.459,s,Surface,16,1000014648,14648,
579.459,s,Surface,16,1000014591,14649,
579.459,s,Surface,16,1000014493,14650,
579.459,s,Surface,16,1000014400,14651,
579.459,s,Surface,16,1000014501,14652,
579.459,s,Surface,16,1000014536,14653,
579.459,s,Surface,16,1000014189,14654,
579.459,s,Surface,16,1000014626,14655,
579.459,s,Surface,16,1000014656,14656,
579.459,s,Surface,16,1000014627,14657,
579.459,s,Surface,16,1000014658,14658,
579.459,s,Surface,16,1000014659,14659,
579.459,s,Surface,16,1000014470,14660,
579.459,s,Surface,16,1000014661,14661,
579.459,s,Surface,16,1000014545,14662,
579.459,s,Surface,16,1000014663,14663,
579.459,s,Surface,16,1000014353,14664,
579.459,s,Surface,16,1000014605,14665,
579.459,s,Surface,16,1000014197,14666,
579.459,s,Surface,16,1000014607,14667,
579.459,s,Surface,16,1000014668,14668,
579.459,s,Surface,16,1000014199,14669,
579.459,s,Surface,16,1000014198,14670,
579.459,s,Surface,16,1000014453,14671,
579.459,s,Surface,16,1000014582,14672,
579.459,s,Surface,16,1000014583,14673,
579.459,s,Surface,16,1000014584,14674,
579.459,s,Surface,16,1000014521,14675,
617.946,s,Surface,17,1000014676,14676,
617.946,s,Surface,17,1000014586,14677,
617.946,s,Surface,17,1000014394,14678,
617.946,s,Surface,17,1000014185,14679,
617.946,s,Surface,17,1000014648,14680,
617.946,s,Surface,17,1000014647,14681,
617.946,s,Surface,17,1000014591,14682,
617.946,s,Surface,17,1000014683,14683,
617.946,s,Surface,17,1000014501,14684,
617.946,s,Surface,17,1000014536,14685,
617.946,s,Surface,17,1000014686,14686,
617.946,s,Surface,17,1000014626,14687,
617.946,s,Surface,17,1000014627,14688,
617.946,s,Surface,17,1000014656,14689,
617.946,s,Surface,17,1000014658,14690,
617.946,s,Surface,17,1000014470,14691,
617.946,s,Surface,17,1000014659,14692,
617.946,s,Surface,17,1000014661,14693,
617.946,s,Surface,17,1000014353,14694,
617.946,s,Surface,17,1000014663,14695,
617.946,s,Surface,17,1000014605,14696,
617.946,s,Surface,17,1000014197,14697,
617.946,s,Surface,17,1000014607,14698,
617.946,s,Surface,17,1000014668,14699,
617.946,s,Surface,17,1000014199,14700,
617.946,s,Surface,17,1000014198,14701,
617.946,s,Surface,17,1000014702,14702,
617.946,s,Surface,17,1000014453,14703,
617.946,s,Surface,17,1000014582,14704,
656.556,s,Surface,18,1000014676,14705,
656.556,s,Surface,18,1000014394,14706,
656.556,s,Surface,18,1000014185,14707,
656.556,s,Surface,18,1000014648,14708,
656.556,s,Surface,18,1000014647,14709,
656.556,s,Surface,18,1000014710,14710,
656.556,s,Surface,18,1000014591,14711,
656.556,s,Surface,18,1000014683,14712,
656.556,s,Surface,18,1000014501,14713,
656.556,s,Surface,18,1000014536,14714,
656.556,s,Surface,18,1000014686,14715,
656.556,s,Surface,18,1000014716,14716,
656.556,s,Surface,18,1000014626,14717,
656.556,s,Surface,18,1000014656,14718,
656.556,s,Surface,18,1000014627,14719,
656.556,s,Surface,18,1000014658,14720,
656.556,s,Surface,18,1000014470,14721,
656.556,s,Surface,18,1000014659,14722,
656.556,s,Surface,18,1000014661,14723,
656.556,s,Surface,18,1000014353,14724,
656.556,s,Surface,18,1000014663,14725,
656.556,s,Surface,18,1000014605,14726,
656.556,s,Surface,18,1000014607,14727,
656.556,s,Surface,18,1000014668,14728,
656.556,s,Surface,18,1000014199,14729,
656.556,s,Surface,18,1000014198,14730,
656.556,s,Surface,18,1000014702,14731,
656.556,s,Surface,18,1000014732,14732,
695.017,s,Surface,19,1000014683,14733,
695.017,s,Surface,19,1000014710,14734,
695.017,s,Surface,19,1000014591,14735,
695.017,s,Surface,19,1000014647,14736,
695.017,s,Surface,19,1000014648,14737,
695.017,s,Surface,19,1000014676,14738,
695.017,s,Surface,19,1000014394,14739,
695.017,s,Surface,19,1000014185,14740,
695.017,s,Surface,19,1000014501,14741,
695.017,s,Surface,19,1000014536,14742,
695.017,s,Surface,19,1000014686,14743,
695.017,s,Surface,19,1000014716,14744,
695.017,s,Surface,19,1000014656,14745,
695.017,s,Surface,19,1000014658,14746,
695.017,s,Surface,19,1000014470,14747,
695.017,s,Surface,19,1000014748,14748,
695.017,s,Surface,19,1000014659,14749,
695.017,s,Surface,19,1000014750,14750,
695.017,s,Surface,19,1000014661,14751,
695.017,s,Surface,19,1000014752,14752,
695.017,s,Surface,19,1000014353,14753,
695.017,s,Surface,19,1000014663,14754,
695.017,s,Surface,19,1000014605,14755,
695.017,s,Surface,19,1000014756,14756,
695.017,s,Surface,19,1000014607,14757,
695.017,s,Surface,19,1000014668,14758,
695.017,s,Surface,19,1000014199,14759,
695.017,s,Surface,19,1000014198,14760,
695.017,s,Surface,19,1000014702,14761,
695.017,s,Surface,19,1000014762,14762,
695.017,s,Surface,19,1000014732,14763,
695.017,s,Surface,19,1000014764,14764,
733.517,s,Surface,20,1000014765,14765,
733.517,s,Surface,20,1000014185,14766,
733.517,s,Surface,20,1000014394,14767,
733.517,s,Surface,20,1000014676,14768,
733.517,s,Surface,20,1000014648,14769,
733.517,s,Surface,20,1000014591,14770,
733.517,s,Surface,20,1000014710,14771,
733.517,s,Surface,20,1000014683,14772,
733.517,s,Surface,20,1000014501,14773,
733.517,s,Surface,20,1000014686,14774,
733.517,s,Surface,20,1000014775,14775,
733.517,s,Surface,20,1000014776,14776,
733.517,s,Surface,20,1000014716,14777,
733.517,s,Surface,20,1000014470,14778,
733.517,s,Surface,20,1000014659,14779,
733.517,s,Surface,20,1000014780,14780,
