
Displacement Length
 ==================== 
Displacement Length,Unit,Category,Time,TrackID,ID,
4.26211,um,Surface,11,1000014412,14512,
7.42471,um,Surface,11,1000014353,14513,
1.53299,um,Surface,11,1000014414,14514,
9.25124,um,Surface,11,1000014197,14515,
1.57061,um,Surface,11,1000014199,14516,
4.16227,um,Surface,11,1000014198,14517,
2.81234,um,Surface,11,1000014447,14518,
5.51213,um,Surface,11,1000014200,14519,
0.559039,um,Surface,11,1000014453,14520,
0,um,Surface,11,1000014521,14521,
4.27725,um,Surface,12,1000014394,14522,
7.46925,um,Surface,12,1000014331,14523,
1.61899,um,Surface,12,1000014185,14524,
4.51922,um,Surface,12,1000014459,14525,
1.9553,um,Surface,12,1000014397,14526,
3.47358,um,Surface,12,1000014493,14527,
0.780357,um,Surface,12,1000014422,14528,
9.05705,um,Surface,12,1000014430,14529,
3.08456,um,Surface,12,1000014299,14530,
1.2302,um,Surface,12,1000014400,14531,
2.1171,um,Surface,12,1000014465,14532,
2.03901,um,Surface,12,1000014402,14533,
2.83604,um,Surface,12,1000014433,14534,
2.60657,um,Surface,12,1000014501,14535,
0,um,Surface,12,1000014536,14536,
13.0557,um,Surface,12,1000014189,14537,
4.03596,um,Surface,12,1000014436,14538,
2.56924,um,Surface,12,1000014470,14539,
1.66051,um,Surface,12,1000014407,14540,
2.92927,um,Surface,12,1000014439,14541,
1.91743,um,Surface,12,1000014440,14542,
2.49272,um,Surface,12,1000014438,14543,
4.16641,um,Surface,12,1000014193,14544,
0,um,Surface,12,1000014545,14545,
8.17662,um,Surface,12,1000014353,14546,
5.54977,um,Surface,12,1000014412,14547,
1.72432,um,Surface,12,1000014414,14548,
8.42321,um,Surface,12,1000014197,14549,
1.47762,um,Surface,12,1000014199,14550,
2.6185,um,Surface,12,1000014447,14551,
3.30154,um,Surface,12,1000014198,14552,
8.10611,um,Surface,12,1000014200,14553,
6.48894,um,Surface,12,1000014453,14554,
3.26646,um,Surface,12,1000014521,14555,
0,um,Surface,13,1000014556,14556,
2.78224,um,Surface,13,1000014185,14557,
11.0082,um,Surface,13,1000014331,14558,
3.11353,um,Surface,13,1000014394,14559,
4.89024,um,Surface,13,1000014459,14560,
3.91898,um,Surface,13,1000014397,14561,
6.40899,um,Surface,13,1000014493,14562,
2.18301,um,Surface,13,1000014299,14563,
0.198624,um,Surface,13,1000014400,14564,
7.43815,um,Surface,13,1000014465,14565,
1.88988,um,Surface,13,1000014402,14566,
2.94809,um,Surface,13,1000014501,14567,
1.99308,um,Surface,13,1000014536,14568,
12.5822,um,Surface,13,1000014189,14569,
3.01937,um,Surface,13,1000014470,14570,
3.13749,um,Surface,13,1000014440,14571,
2.72103,um,Surface,13,1000014438,14572,
1.76677,um,Surface,13,1000014545,14573,
6.08754,um,Surface,13,1000014412,14574,
8.3505,um,Surface,13,1000014353,14575,
2.77084,um,Surface,13,1000014414,14576,
9.01574,um,Surface,13,1000014197,14577,
1.23831,um,Surface,13,1000014199,14578,
4.83702,um,Surface,13,1000014198,14579,
7.22437,um,Surface,13,1000014200,14580,
5.37964,um,Surface,13,1000014453,14581,
0,um,Surface,13,1000014582,14582,
0,um,Surface,13,1000014583,14583,
0,um,Surface,13,1000014584,14584,
1.19037,um,Surface,13,1000014521,14585,
0,um,Surface,14,1000014586,14586,
4.70187,um,Surface,14,1000014394,14587,
0.626098,um,Surface,14,1000014556,14588,
2.40525,um,Surface,14,1000014185,14589,
6.65569,um,Surface,14,1000014493,14590,
0,um,Surface,14,1000014591,14591,
3.75834,um,Surface,14,1000014299,14592,
0.853764,um,Surface,14,1000014400,14593,
8.05568,um,Surface,14,1000014465,14594,
0.560375,um,Surface,14,1000014402,14595,
1.82693,um,Surface,14,1000014501,14596,
2.31218,um,Surface,14,1000014536,14597,
11.7271,um,Surface,14,1000014189,14598,
3.46117,um,Surface,14,1000014470,14599,
3.3005,um,Surface,14,1000014440,14600,
3.64921,um,Surface,14,1000014438,14601,
2.27552,um,Surface,14,1000014545,14602,
9.7428,um,Surface,14,1000014353,14603,
1.39815,um,Surface,14,1000014414,14604,
0,um,Surface,14,1000014605,14605,
10.525,um,Surface,14,1000014197,14606,
0,um,Surface,14,1000014607,14607,
1.56922,um,Surface,14,1000014199,14608,
4.69635,um,Surface,14,1000014198,14609,
10.4064,um,Surface,14,1000014200,14610,
5.83763,um,Surface,14,1000014453,14611,
2.63082,um,Surface,14,1000014582,14612,
5.77923,um,Surface,14,1000014583,14613,
0,um,Surface,14,1000014584,14614,
1.30313,um,Surface,14,1000014521,14615,
2.89801,um,Surface,15,1000014185,14616,
1.20516,um,Surface,15,1000014556,14617,
5.62773,um,Surface,15,1000014394,14618,
1.56254,um,Surface,15,1000014586,14619,
10.136,um,Surface,15,1000014493,14620,
1.62972,um,Surface,15,1000014591,14621,
1.49516,um,Surface,15,1000014400,14622,
2.74867,um,Surface,15,1000014501,14623,
4.30619,um,Surface,15,1000014536,14624,
12.8336,um,Surface,15,1000014189,14625,
0,um,Surface,15,1000014626,14626,
0,um,Surface,15,1000014627,14627,
2.49656,um,Surface,15,1000014470,14628,
5.21964,um,Surface,15,1000014440,14629,
3.59232,um,Surface,15,1000014545,14630,
11.8403,um,Surface,15,1000014353,14631,
2.93542,um,Surface,15,1000014605,14632,
12.7809,um,Surface,15,1000014197,14633,
2.11866,um,Surface,15,1000014607,14634,
1.53094,um,Surface,15,1000014199,14635,
12.6195,um,Surface,15,1000014200,14636,
5.09973,um,Surface,15,1000014198,14637,
4.87702,um,Surface,15,1000014453,14638,
3.16858,um,Surface,15,1000014582,14639,
5.66416,um,Surface,15,1000014583,14640,
2.74114,um,Surface,15,1000014584,14641,
1.16468,um,Surface,15,1000014521,14642,
0.265212,um,Surface,16,1000014556,14643,
3.82798,um,Surface,16,1000014185,14644,
7.04207,um,Surface,16,1000014394,14645,
3.21932,um,Surface,16,1000014586,14646,
0,um,Surface,16,1000014647,14647,
0,um,Surface,16,1000014648,14648,
2.2769,um,Surface,16,1000014591,14649,
12.5658,um,Surface,16,1000014493,14650,
1.12357,um,Surface,16,1000014400,14651,
2.39215,um,Surface,16,1000014501,14652,
3.96065,um,Surface,16,1000014536,14653,
17.0227,um,Surface,16,1000014189,14654,
0.476945,um,Surface,16,1000014626,14655,
0,um,Surface,16,1000014656,14656,
1.47699,um,Surface,16,1000014627,14657,
0,um,Surface,16,1000014658,14658,
0,um,Surface,16,1000014659,14659,
3.88888,um,Surface,16,1000014470,14660,
0,um,Surface,16,1000014661,14661,
4.78358,um,Surface,16,1000014545,14662,
0,um,Surface,16,1000014663,14663,
17.1741,um,Surface,16,1000014353,14664,
1.28047,um,Surface,16,1000014605,14665,
13.5966,um,Surface,16,1000014197,14666,
1.27382,um,Surface,16,1000014607,14667,
0,um,Surface,16,1000014668,14668,
1.75107,um,Surface,16,1000014199,14669,
3.52247,um,Surface,16,1000014198,14670,
3.63403,um,Surface,16,1000014453,14671,
2.75979,um,Surface,16,1000014582,14672,
4.99311,um,Surface,16,1000014583,14673,
0.195691,um,Surface,16,1000014584,14674,
1.53032,um,Surface,16,1000014521,14675,
0,um,Surface,17,1000014676,14676,
4.93058,um,Surface,17,1000014586,14677,
7.31951,um,Surface,17,1000014394,14678,
3.44448,um,Surface,17,1000014185,14679,
2.49388,um,Surface,17,1000014648,14680,
1.66227,um,Surface,17,1000014647,14681,
1.44247,um,Surface,17,1000014591,14682,
0,um,Surface,17,1000014683,14683,
1.9339,um,Surface,17,1000014501,14684,
0.342324,um,Surface,17,1000014536,14685,
0,um,Surface,17,1000014686,14686,
1.605,um,Surface,17,1000014626,14687,
1.53983,um,Surface,17,1000014627,14688,
3.09108,um,Surface,17,1000014656,14689,
2.69865,um,Surface,17,1000014658,14690,
5.00323,um,Surface,17,1000014470,14691,
2.78182,um,Surface,17,1000014659,14692,
1.38406,um,Surface,17,1000014661,14693,
17.4093,um,Surface,17,1000014353,14694,
0.926485,um,Surface,17,1000014663,14695,
3.59249,um,Surface,17,1000014605,14696,
13.3768,um,Surface,17,1000014197,14697,
2.70958,um,Surface,17,1000014607,14698,
2.46462,um,Surface,17,1000014668,14699,
1.40566,um,Surface,17,1000014199,14700,
4.86868,um,Surface,17,1000014198,14701,
0,um,Surface,17,1000014702,14702,
1.82506,um,Surface,17,1000014453,14703,
0.637099,um,Surface,17,1000014582,14704,
1.0834,um,Surface,18,1000014676,14705,
8.4377,um,Surface,18,1000014394,14706,
2.72988,um,Surface,18,1000014185,14707,
6.03274,um,Surface,18,1000014648,14708,
1.46269,um,Surface,18,1000014647,14709,
0,um,Surface,18,1000014710,14710,
0.922152,um,Surface,18,1000014591,14711,
0.404951,um,Surface,18,1000014683,14712,
1.83645,um,Surface,18,1000014501,14713,
0.804501,um,Surface,18,1000014536,14714,
1.33131,um,Surface,18,1000014686,14715,
0,um,Surface,18,1000014716,14716,
4.46915,um,Surface,18,1000014626,14717,
3.67536,um,Surface,18,1000014656,14718,
3.98501,um,Surface,18,1000014627,14719,
1.60667,um,Surface,18,1000014658,14720,
6.3858,um,Surface,18,1000014470,14721,
2.78837,um,Surface,18,1000014659,14722,
0.735478,um,Surface,18,1000014661,14723,
19.4906,um,Surface,18,1000014353,14724,
2.55401,um,Surface,18,1000014663,14725,
3.47736,um,Surface,18,1000014605,14726,
2.39656,um,Surface,18,1000014607,14727,
3.08562,um,Surface,18,1000014668,14728,
3.05806,um,Surface,18,1000014199,14729,
5.5641,um,Surface,18,1000014198,14730,
6.17272,um,Surface,18,1000014702,14731,
0,um,Surface,18,1000014732,14732,
1.34539,um,Surface,19,1000014683,14733,
5.95153,um,Surface,19,1000014710,14734,
0.806775,um,Surface,19,1000014591,14735,
1.39442,um,Surface,19,1000014647,14736,
5.76914,um,Surface,19,1000014648,14737,
1.70511,um,Surface,19,1000014676,14738,
9.35776,um,Surface,19,1000014394,14739,
2.9287,um,Surface,19,1000014185,14740,
3.20988,um,Surface,19,1000014501,14741,
1.54496,um,Surface,19,1000014536,14742,
2.60762,um,Surface,19,1000014686,14743,
3.10047,um,Surface,19,1000014716,14744,
5.84923,um,Surface,19,1000014656,14745,
1.45559,um,Surface,19,1000014658,14746,
5.91507,um,Surface,19,1000014470,14747,
0,um,Surface,19,1000014748,14748,
3.30334,um,Surface,19,1000014659,14749,
0,um,Surface,19,1000014750,14750,
1.99564,um,Surface,19,1000014661,14751,
0,um,Surface,19,1000014752,14752,
19.8532,um,Surface,19,1000014353,14753,
1.7133,um,Surface,19,1000014663,14754,
5.02644,um,Surface,19,1000014605,14755,
0,um,Surface,19,1000014756,14756,
1.90943,um,Surface,19,1000014607,14757,
2.77179,um,Surface,19,1000014668,14758,
3.20551,um,Surface,19,1000014199,14759,
5.54006,um,Surface,19,1000014198,14760,
3.80428,um,Surface,19,1000014702,14761,
0,um,Surface,19,1000014762,14762,
2.26114,um,Surface,19,1000014732,14763,
0,um,Surface,19,1000014764,14764,
0,um,Surface,20,1000014765,14765,
3.62721,um,Surface,20,1000014185,14766,
10.3956,um,Surface,20,1000014394,14767,
3.24177,um,Surface,20,1000014676,14768,
2.11741,um,Surface,20,1000014648,14769,
2.78633,um,Surface,20,1000014591,14770,
7.16263,um,Surface,20,1000014710,14771,
2.1256,um,Surface,20,1000014683,14772,
2.51494,um,Surface,20,1000014501,14773,
1.24438,um,Surface,20,1000014686,14774,
0,um,Surface,20,1000014775,14775,
0,um,Surface,20,1000014776,14776,
4.21446,um,Surface,20,1000014716,14777,
5.3495,um,Surface,20,1000014470,14778,
4.65967,um,Surface,20,1000014659,14779,
0,um,Surface,20,1000014780,14780,
3.95987,um,Surface,20,1000014748,14781,
1.90341,um,Surface,20,1000014661,14782,
0,um,Surface,20,1000014783,14783,
2.05362,um,Surface,20,1000014750,14784,
2.0151,um,Surface,20,1000014752,14785,
0,um,Surface,20,1000014786,14786,
19.2571,um,Surface,20,1000014353,14787,
2.1574,um,Surface,20,1000014663,14788,
1.78305,um,Surface,20,1000014756,14789,
2.26125,um,Surface,20,1000014607,14790,
1.00953,um,Surface,20,1000014668,14791,
3.40366,um,Surface,20,1000014199,14792,
4.17555,um,Surface,20,1000014198,14793,
3.47163,um,Surface,20,1000014702,14794,
0.510781,um,Surface,20,1000014762,14795,
3.07175,um,Surface,20,1000014732,14796,
6.18893,um,Surface,20,1000014764,14797,
0,um,Surface,21,1000014798,14798,
11.5165,um,Surface,21,1000014394,14799,
0,um,Surface,21,1000014800,14800,
2.87928,um,Surface,21,1000014765,14801,
3.28465,um,Surface,21,1000014185,14802,
0,um,Surface,21,1000014803,14803,
0,um,Surface,21,1000014804,14804,
1.91184,um,Surface,21,1000014676,14805,
2.83976,um,Surface,21,1000014648,14806,
1.64972,um,Surface,21,1000014591,14807,
4.73707,um,Surface,21,1000014710,14808,
0,um,Surface,21,1000014809,14809,
1.28179,um,Surface,21,1000014683,14810,
2.72654,um,Surface,21,1000014501,14811,
2.48642,um,Surface,21,1000014686,14812,
1.1704,um,Surface,21,1000014775,14813,
3.97282,um,Surface,21,1000014716,14814,
1.47487,um,Surface,21,1000014776,14815,
6.1745,um,Surface,21,1000014470,14816,
1.59437,um,Surface,21,1000014780,14817,
6.88669,um,Surface,21,1000014659,14818,
5.46745,um,Surface,21,1000014748,14819,
1.78933,um,Surface,21,1000014661,14820,
1.98244,um,Surface,21,1000014783,14821,
0,um,Surface,21,1000014822,14822,
0.520165,um,Surface,21,1000014750,14823,
0,um,Surface,21,1000014752,14824,
18.5645,um,Surface,21,1000014353,14825,
2.54242,um,Surface,21,1000014786,14826,
1.8362,um,Surface,21,1000014756,14827,
