
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0.256989,0.850037,-0.142857,um,Surface,Displacement Delta,12,1000014299,14530,
-0.600956,1.534,0,um,Surface,Displacement Delta,12,1000014400,14531,
1.14853,0.166077,1,um,Surface,Displacement Delta,12,1000014465,14532,
-0.518913,1.34918,0,um,Surface,Displacement Delta,12,1000014402,14533,
-1.07933,2.57382,0,um,Surface,Displacement Delta,12,1000014433,14534,
1.67448,-1.56982,-1.23529,um,Surface,Displacement Delta,12,1000014501,14535,
0,0,0,um,Surface,Displacement Delta,12,1000014536,14536,
-0.124542,-0.830261,0.5,um,Surface,Displacement Delta,12,1000014189,14537,
0.669403,1.41664,-0.91875,um,Surface,Displacement Delta,12,1000014436,14538,
0.747238,1.19003,-0.900002,um,Surface,Displacement Delta,12,1000014470,14539,
