
Number of Disconnected Components
 ==================== 
Number of Disconnected Components,Unit,Category,Time,TrackID,ID,
1,,Surface,19,1000014668,14758,
1,,Surface,19,1000014199,14759,
1,,Surface,19,1000014198,14760,
1,,Surface,19,1000014702,14761,
1,,Surface,19,1000014762,14762,
1,,Surface,19,1000014732,14763,
1,,Surface,19,1000014764,14764,
1,,Surface,20,1000014765,14765,
1,,Surface,20,1000014185,14766,
1,,Surface,20,1000014394,14767,
1,,Surface,20,1000014676,14768,
1,,Surface,20,1000014648,14769,
1,,Surface,20,1000014591,14770,
1,,Surface,20,1000014710,14771,
1,,Surface,20,1000014683,14772,
1,,Surface,20,1000014501,14773,
1,,Surface,20,1000014686,14774,
1,,Surface,20,1000014775,14775,
1,,Surface,20,1000014776,14776,
1,,Surface,20,1000014716,14777,
1,,Surface,20,1000014470,14778,
1,,Surface,20,1000014659,14779,
1,,Surface,20,1000014780,14780,
1,,Surface,20,1000014748,14781,
1,,Surface,20,1000014661,14782,
1,,Surface,20,1000014783,14783,
1,,Surface,20,1000014750,14784,
1,,Surface,20,1000014752,14785,
1,,Surface,20,1000014786,14786,
1,,Surface,20,1000014353,14787,
1,,Surface,20,1000014663,14788,
1,,Surface,20,1000014756,14789,
1,,Surface,20,1000014607,14790,
1,,Surface,20,1000014668,14791,
1,,Surface,20,1000014199,14792,
1,,Surface,20,1000014198,14793,
1,,Surface,20,1000014702,14794,
1,,Surface,20,1000014762,14795,
1,,Surface,20,1000014732,14796,
1,,Surface,20,1000014764,14797,
1,,Surface,21,1000014798,14798,
1,,Surface,21,1000014394,14799,
1,,Surface,21,1000014800,14800,
1,,Surface,21,1000014765,14801,
1,,Surface,21,1000014185,14802,
1,,Surface,21,1000014803,14803,
1,,Surface,21,1000014804,14804,
1,,Surface,21,1000014676,14805,
1,,Surface,21,1000014648,14806,
1,,Surface,21,1000014591,14807,
1,,Surface,21,1000014710,14808,
1,,Surface,21,1000014809,14809,
1,,Surface,21,1000014683,14810,
1,,Surface,21,1000014501,14811,
1,,Surface,21,1000014686,14812,
1,,Surface,21,1000014775,14813,
1,,Surface,21,1000014716,14814,
1,,Surface,21,1000014776,14815,
1,,Surface,21,1000014470,14816,
1,,Surface,21,1000014780,14817,
1,,Surface,21,1000014659,14818,
1,,Surface,21,1000014748,14819,
1,,Surface,21,1000014661,14820,
1,,Surface,21,1000014783,14821,
1,,Surface,21,1000014822,14822,
1,,Surface,21,1000014750,14823,
1,,Surface,21,1000014752,14824,
1,,Surface,21,1000014353,14825,
1,,Surface,21,1000014786,14826,
1,,Surface,21,1000014756,14827,
1,,Surface,21,1000014607,14828,
1,,Surface,21,1000014668,14829,
1,,Surface,21,1000014199,14830,
1,,Surface,21,1000014198,14831,
1,,Surface,21,1000014762,14832,
1,,Surface,21,1000014732,14833,
1,,Surface,21,1000014764,14834,
1,,Surface,22,1000014800,14835,
1,,Surface,22,1000014765,14836,
1,,Surface,22,1000014185,14837,
1,,Surface,22,1000014394,14838,
1,,Surface,22,1000014798,14839,
1,,Surface,22,1000014804,14840,
1,,Surface,22,1000014803,14841,
1,,Surface,22,1000014676,14842,
1,,Surface,22,1000014648,14843,
1,,Surface,22,1000014591,14844,
1,,Surface,22,1000014710,14845,
1,,Surface,22,1000014846,14846,
1,,Surface,22,1000014809,14847,
1,,Surface,22,1000014848,14848,
1,,Surface,22,1000014683,14849,
1,,Surface,22,1000014501,14850,
1,,Surface,22,1000014686,14851,
1,,Surface,22,1000014852,14852,
1,,Surface,22,1000014775,14853,
1,,Surface,22,1000014776,14854,
1,,Surface,22,1000014470,14855,
1,,Surface,22,1000014659,14856,
1,,Surface,22,1000014780,14857,
1,,Surface,22,1000014748,14858,
1,,Surface,22,1000014859,14859,
1,,Surface,22,1000014783,14860,
1,,Surface,22,1000014822,14861,
1,,Surface,22,1000014750,14862,
1,,Surface,22,1000014752,14863,
1,,Surface,22,1000014786,14864,
1,,Surface,22,1000014353,14865,
1,,Surface,22,1000014756,14866,
1,,Surface,22,1000014607,14867,
1,,Surface,22,1000014199,14868,
1,,Surface,22,1000014198,14869,
1,,Surface,22,1000014762,14870,
1,,Surface,22,1000014732,14871,
1,,Surface,22,1000014764,14872,
1,,Surface,23,1000014803,14873,
1,,Surface,23,1000014798,14874,
1,,Surface,23,1000014804,14875,
1,,Surface,23,1000014800,14876,
1,,Surface,23,1000014765,14877,
1,,Surface,23,1000014185,14878,
1,,Surface,23,1000014676,14879,
1,,Surface,23,1000014648,14880,
1,,Surface,23,1000014591,14881,
1,,Surface,23,1000014809,14882,
1,,Surface,23,1000014846,14883,
1,,Surface,23,1000014848,14884,
1,,Surface,23,1000014501,14885,
1,,Surface,23,1000014686,14886,
1,,Surface,23,1000014887,14887,
1,,Surface,23,1000014852,14888,
1,,Surface,23,1000014775,14889,
1,,Surface,23,1000014776,14890,
1,,Surface,23,1000014470,14891,
1,,Surface,23,1000014659,14892,
1,,Surface,23,1000014780,14893,
1,,Surface,23,1000014859,14894,
1,,Surface,23,1000014783,14895,
1,,Surface,23,1000014822,14896,
1,,Surface,23,1000014750,14897,
1,,Surface,23,1000014752,14898,
1,,Surface,23,1000014786,14899,
1,,Surface,23,1000014353,14900,
1,,Surface,23,1000014607,14901,
1,,Surface,23,1000014199,14902,
1,,Surface,23,1000014198,14903,
1,,Surface,23,1000014762,14904,
1,,Surface,23,1000014732,14905,
1,,Surface,24,1000014804,14906,
1,,Surface,24,1000014800,14907,
1,,Surface,24,1000014185,14908,
1,,Surface,24,1000014909,14909,
1,,Surface,24,1000014803,14910,
1,,Surface,24,1000014798,14911,
1,,Surface,24,1000014676,14912,
1,,Surface,24,1000014648,14913,
1,,Surface,24,1000014591,14914,
1,,Surface,24,1000014809,14915,
1,,Surface,24,1000014846,14916,
