
Number of Disconnected Components
 ==================== 
Number of Disconnected Components,Unit,Category,Time,TrackID,ID,
1,,Surface,10,1000018912,19136,
1,,Surface,10,1000019003,19137,
1,,Surface,10,1000019002,19138,
1,,Surface,10,1000018913,19139,
1,,Surface,10,1000019004,19140,
1,,Surface,10,1000018774,19141,
1,,Surface,10,1000019049,19142,
1,,Surface,10,1000019007,19143,
1,,Surface,10,1000018776,19144,
1,,Surface,10,1000018777,19145,
1,,Surface,10,1000018919,19146,
1,,Surface,10,1000018778,19147,
1,,Surface,10,1000018964,19148,
1,,Surface,10,1000018779,19149,
1,,Surface,11,1000019150,19150,
1,,Surface,11,1000018770,19151,
1,,Surface,11,1000019152,19152,
1,,Surface,11,1000018812,19153,
1,,Surface,11,1000018947,19154,
1,,Surface,11,1000018755,19155,
1,,Surface,11,1000019064,19156,
1,,Surface,11,1000018756,19157,
1,,Surface,11,1000019108,19158,
1,,Surface,11,1000019109,19159,
1,,Surface,11,1000018788,19160,
1,,Surface,11,1000018759,19161,
1,,Surface,11,1000018760,19162,
1,,Surface,11,1000018858,19163,
1,,Surface,11,1000019114,19164,
1,,Surface,11,1000018816,19165,
1,,Surface,11,1000018970,19166,
1,,Surface,11,1000018930,19167,
1,,Surface,11,1000018761,19168,
1,,Surface,11,1000018762,19169,
1,,Surface,11,1000018933,19170,
1,,Surface,11,1000018764,19171,
1,,Surface,11,1000018794,19172,
1,,Surface,11,1000018978,19173,
1,,Surface,11,1000018766,19174,
1,,Surface,11,1000018867,19175,
1,,Surface,11,1000018768,19176,
1,,Surface,11,1000018799,19177,
1,,Surface,11,1000018904,19178,
1,,Surface,11,1000018996,19179,
1,,Surface,11,1000019180,19180,
1,,Surface,11,1000019133,19181,
1,,Surface,11,1000019087,19182,
1,,Surface,11,1000018773,19183,
1,,Surface,11,1000019003,19184,
1,,Surface,11,1000019002,19185,
1,,Surface,11,1000018913,19186,
1,,Surface,11,1000019004,19187,
1,,Surface,11,1000018774,19188,
1,,Surface,11,1000019049,19189,
1,,Surface,11,1000019007,19190,
1,,Surface,11,1000019191,19191,
1,,Surface,11,1000018776,19192,
1,,Surface,11,1000018777,19193,
1,,Surface,11,1000018778,19194,
1,,Surface,11,1000018964,19195,
1,,Surface,11,1000018779,19196,
1,,Surface,12,1000019152,19197,
1,,Surface,12,1000018770,19198,
1,,Surface,12,1000018812,19199,
1,,Surface,12,1000018947,19200,
1,,Surface,12,1000018755,19201,
1,,Surface,12,1000019064,19202,
