
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,TrackID,ID,
99.3205,um,Surface,Image 1,8,1000018947,19015,
93.4049,um,Surface,Image 1,8,1000018812,19016,
75.9693,um,Surface,Image 1,8,1000018755,19017,
102.538,um,Surface,Image 1,8,1000018756,19018,
71.6203,um,Surface,Image 1,8,1000018759,19019,
116.403,um,Surface,Image 1,8,1000018816,19020,
90.2303,um,Surface,Image 1,8,1000018760,19021,
120.056,um,Surface,Image 1,8,1000018788,19022,
150.693,um,Surface,Image 1,8,1000018858,19023,
139.673,um,Surface,Image 1,8,1000018970,19024,
85.9325,um,Surface,Image 1,8,1000018930,19025,
138.762,um,Surface,Image 1,8,1000018761,19026,
131.348,um,Surface,Image 1,8,1000018762,19027,
136.579,um,Surface,Image 1,8,1000018933,19028,
40.3656,um,Surface,Image 1,8,1000018764,19029,
40.0307,um,Surface,Image 1,8,1000018763,19030,
115.585,um,Surface,Image 1,8,1000018794,19031,
41.1574,um,Surface,Image 1,8,1000018978,19032,
39.6779,um,Surface,Image 1,8,1000018766,19033,
25.1847,um,Surface,Image 1,8,1000018867,19034,
74.5163,um,Surface,Image 1,8,1000018768,19035,
41.0982,um,Surface,Image 1,8,1000018797,19036,
25.9198,um,Surface,Image 1,8,1000018799,19037,
35.2863,um,Surface,Image 1,8,1000018904,19038,
128.235,um,Surface,Image 1,8,1000018769,19039,
43.3517,um,Surface,Image 1,8,1000018770,19040,
95.8957,um,Surface,Image 1,8,1000018996,19041,
117.344,um,Surface,Image 1,8,1000018802,19042,
80.1206,um,Surface,Image 1,8,1000018773,19043,
55.1296,um,Surface,Image 1,8,1000018912,19044,
118.237,um,Surface,Image 1,8,1000019003,19045,
140.73,um,Surface,Image 1,8,1000018913,19046,
139.07,um,Surface,Image 1,8,1000019002,19047,
106.606,um,Surface,Image 1,8,1000019004,19048,
120.139,um,Surface,Image 1,8,1000019049,19049,
134.088,um,Surface,Image 1,8,1000018774,19050,
119.143,um,Surface,Image 1,8,1000018775,19051,
133.495,um,Surface,Image 1,8,1000019007,19052,
149.448,um,Surface,Image 1,8,1000018776,19053,
66.7986,um,Surface,Image 1,8,1000018777,19054,
86.796,um,Surface,Image 1,8,1000018919,19055,
81.0547,um,Surface,Image 1,8,1000018778,19056,
37.0575,um,Surface,Image 1,8,1000018964,19057,
16.3286,um,Surface,Image 1,8,1000018779,19058,
42.8002,um,Surface,Image 1,9,1000018770,19059,
128.395,um,Surface,Image 1,9,1000018769,19060,
98.4326,um,Surface,Image 1,9,1000018947,19061,
91.0179,um,Surface,Image 1,9,1000018812,19062,
77.894,um,Surface,Image 1,9,1000018755,19063,
81.8642,um,Surface,Image 1,9,1000019064,19064,
101.708,um,Surface,Image 1,9,1000018756,19065,
72.5728,um,Surface,Image 1,9,1000018759,19066,
90.7393,um,Surface,Image 1,9,1000018760,19067,
119.262,um,Surface,Image 1,9,1000018788,19068,
114.237,um,Surface,Image 1,9,1000018816,19069,
150.555,um,Surface,Image 1,9,1000018858,19070,
86.9093,um,Surface,Image 1,9,1000018930,19071,
139.955,um,Surface,Image 1,9,1000018970,19072,
138.328,um,Surface,Image 1,9,1000018761,19073,
131.597,um,Surface,Image 1,9,1000018762,19074,
135.748,um,Surface,Image 1,9,1000018933,19075,
39.576,um,Surface,Image 1,9,1000018764,19076,
40.9272,um,Surface,Image 1,9,1000018763,19077,
118.313,um,Surface,Image 1,9,1000018794,19078,
41.5014,um,Surface,Image 1,9,1000018978,19079,
39.576,um,Surface,Image 1,9,1000018766,19080,
24.4928,um,Surface,Image 1,9,1000018867,19081,
42.7587,um,Surface,Image 1,9,1000018797,19082,
74.3549,um,Surface,Image 1,9,1000018768,19083,
26.9348,um,Surface,Image 1,9,1000018799,19084,
33.4182,um,Surface,Image 1,9,1000018904,19085,
