
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
229.2,,Surface,1,Image 1,9,1000018773,19088,
4.8,,Surface,1,Image 1,9,1000018912,19089,
2.5,,Surface,1,Image 1,9,1000018913,19090,
7.8,,Surface,1,Image 1,9,1000019003,19091,
78.25,,Surface,1,Image 1,9,1000019002,19092,
8.16667,,Surface,1,Image 1,9,1000019004,19093,
42.6364,,Surface,1,Image 1,9,1000018774,19094,
27.1,,Surface,1,Image 1,9,1000019049,19095,
33.3684,,Surface,1,Image 1,9,1000019007,19096,
95.3636,,Surface,1,Image 1,9,1000018776,19097,
44.0909,,Surface,1,Image 1,9,1000018777,19098,
8.16667,,Surface,1,Image 1,9,1000018919,19099,
58.8571,,Surface,1,Image 1,9,1000018778,19100,
3.53846,,Surface,1,Image 1,9,1000018964,19101,
93.6364,,Surface,1,Image 1,9,1000018779,19102,
65.8182,,Surface,1,Image 1,10,1000018947,19103,
18.1667,,Surface,1,Image 1,10,1000018812,19104,
234,,Surface,1,Image 1,10,1000018755,19105,
116,,Surface,1,Image 1,10,1000019064,19106,
11.5,,Surface,1,Image 1,10,1000018756,19107,
105.333,,Surface,1,Image 1,10,1000019108,19108,
227.75,,Surface,1,Image 1,10,1000019109,19109,
164,,Surface,1,Image 1,10,1000018759,19110,
25,,Surface,1,Image 1,10,1000018788,19111,
155.895,,Surface,1,Image 1,10,1000018760,19112,
29,,Surface,1,Image 1,10,1000018858,19113,
2,,Surface,1,Image 1,10,1000019114,19114,
55.1,,Surface,1,Image 1,10,1000018816,19115,
145,,Surface,1,Image 1,10,1000018970,19116,
148,,Surface,1,Image 1,10,1000018930,19117,
255,,Surface,1,Image 1,10,1000018761,19118,
249.286,,Surface,1,Image 1,10,1000018762,19119,
255,,Surface,1,Image 1,10,1000018933,19120,
189.6,,Surface,1,Image 1,10,1000018764,19121,
12.4444,,Surface,1,Image 1,10,1000018794,19122,
50.6842,,Surface,1,Image 1,10,1000018978,19123,
169.588,,Surface,1,Image 1,10,1000018766,19124,
118.5,,Surface,1,Image 1,10,1000018867,19125,
199,,Surface,1,Image 1,10,1000018797,19126,
229.727,,Surface,1,Image 1,10,1000018768,19127,
239.346,,Surface,1,Image 1,10,1000018799,19128,
214.667,,Surface,1,Image 1,10,1000018904,19129,
82.875,,Surface,1,Image 1,10,1000018769,19130,
255,,Surface,1,Image 1,10,1000018770,19131,
0,,Surface,1,Image 1,10,1000018996,19132,
14.5,,Surface,1,Image 1,10,1000019133,19133,
27.8,,Surface,1,Image 1,10,1000019087,19134,
255,,Surface,1,Image 1,10,1000018773,19135,
6.53333,,Surface,1,Image 1,10,1000018912,19136,
19.1818,,Surface,1,Image 1,10,1000019003,19137,
87.25,,Surface,1,Image 1,10,1000019002,19138,
17.3333,,Surface,1,Image 1,10,1000018913,19139,
3.8,,Surface,1,Image 1,10,1000019004,19140,
23.8889,,Surface,1,Image 1,10,1000018774,19141,
27,,Surface,1,Image 1,10,1000019049,19142,
22.4667,,Surface,1,Image 1,10,1000019007,19143,
145.727,,Surface,1,Image 1,10,1000018776,19144,
67.25,,Surface,1,Image 1,10,1000018777,19145,
36,,Surface,1,Image 1,10,1000018919,19146,
63.3333,,Surface,1,Image 1,10,1000018778,19147,
0,,Surface,1,Image 1,10,1000018964,19148,
83.6923,,Surface,1,Image 1,10,1000018779,19149,
142.356,,Surface,1,Image 1,11,1000019150,19150,
252.25,,Surface,1,Image 1,11,1000018770,19151,
195.182,,Surface,1,Image 1,11,1000019152,19152,
13.5,,Surface,1,Image 1,11,1000018812,19153,
113.4,,Surface,1,Image 1,11,1000018947,19154,
217.375,,Surface,1,Image 1,11,1000018755,19155,
98.8333,,Surface,1,Image 1,11,1000019064,19156,
22.2222,,Surface,1,Image 1,11,1000018756,19157,
111.412,,Surface,1,Image 1,11,1000019108,19158,
136.167,,Surface,1,Image 1,11,1000019109,19159,
7,,Surface,1,Image 1,11,1000018788,19160,
128,,Surface,1,Image 1,11,1000018759,19161,
145.19,,Surface,1,Image 1,11,1000018760,19162,
11,,Surface,1,Image 1,11,1000018858,19163,
11,,Surface,1,Image 1,11,1000019114,19164,
69.5714,,Surface,1,Image 1,11,1000018816,19165,
158.556,,Surface,1,Image 1,11,1000018970,19166,
126.8,,Surface,1,Image 1,11,1000018930,19167,
254.971,,Surface,1,Image 1,11,1000018761,19168,
226.857,,Surface,1,Image 1,11,1000018762,19169,
255,,Surface,1,Image 1,11,1000018933,19170,
241.588,,Surface,1,Image 1,11,1000018764,19171,
37.6667,,Surface,1,Image 1,11,1000018794,19172,
48.55,,Surface,1,Image 1,11,1000018978,19173,
144.471,,Surface,1,Image 1,11,1000018766,19174,
65,,Surface,1,Image 1,11,1000018867,19175,
245.318,,Surface,1,Image 1,11,1000018768,19176,
242.533,,Surface,1,Image 1,11,1000018799,19177,
255,,Surface,1,Image 1,11,1000018904,19178,
1.625,,Surface,1,Image 1,11,1000018996,19179,
47,,Surface,1,Image 1,11,1000019180,19180,
9.5,,Surface,1,Image 1,11,1000019133,19181,
24.7,,Surface,1,Image 1,11,1000019087,19182,
255,,Surface,1,Image 1,11,1000018773,19183,
11,,Surface,1,Image 1,11,1000019003,19184,
121,,Surface,1,Image 1,11,1000019002,19185,
0,,Surface,1,Image 1,11,1000018913,19186,
4.625,,Surface,1,Image 1,11,1000019004,19187,
27.8571,,Surface,1,Image 1,11,1000018774,19188,
34.8125,,Surface,1,Image 1,11,1000019049,19189,
17.3846,,Surface,1,Image 1,11,1000019007,19190,
13.3333,,Surface,1,Image 1,11,1000019191,19191,
148.222,,Surface,1,Image 1,11,1000018776,19192,
84,,Surface,1,Image 1,11,1000018777,19193,
79.2,,Surface,1,Image 1,11,1000018778,19194,
1,,Surface,1,Image 1,11,1000018964,19195,
82.0526,,Surface,1,Image 1,11,1000018779,19196,
199.118,,Surface,1,Image 1,12,1000019152,19197,
255,,Surface,1,Image 1,12,1000018770,19198,
22,,Surface,1,Image 1,12,1000018812,19199,
45.75,,Surface,1,Image 1,12,1000018947,19200,
253.2,,Surface,1,Image 1,12,1000018755,19201,
76.3889,,Surface,1,Image 1,12,1000019064,19202,
17.2222,,Surface,1,Image 1,12,1000018788,19203,
200,,Surface,1,Image 1,12,1000019109,19204,
203.5,,Surface,1,Image 1,12,1000018759,19205,
112.889,,Surface,1,Image 1,12,1000019108,19206,
147.941,,Surface,1,Image 1,12,1000018760,19207,
13.5,,Surface,1,Image 1,12,1000018858,19208,
14,,Surface,1,Image 1,12,1000019114,19209,
50.5,,Surface,1,Image 1,12,1000018816,19210,
128.769,,Surface,1,Image 1,12,1000018970,19211,
122.6,,Surface,1,Image 1,12,1000018930,19212,
255,,Surface,1,Image 1,12,1000018761,19213,
223.125,,Surface,1,Image 1,12,1000018762,19214,
255,,Surface,1,Image 1,12,1000018933,19215,
140.561,,Surface,1,Image 1,12,1000019216,19216,
215.909,,Surface,1,Image 1,12,1000018764,19217,
48.7826,,Surface,1,Image 1,12,1000018978,19218,
148.8,,Surface,1,Image 1,12,1000018766,19219,
245.091,,Surface,1,Image 1,12,1000018768,19220,
231.154,,Surface,1,Image 1,12,1000018799,19221,
249.5,,Surface,1,Image 1,12,1000018904,19222,
147.429,,Surface,1,Image 1,12,1000019150,19223,
47.25,,Surface,1,Image 1,12,1000019180,19224,
6.72727,,Surface,1,Image 1,12,1000018996,19225,
26,,Surface,1,Image 1,12,1000019133,19226,
40.6667,,Surface,1,Image 1,12,1000019087,19227,
237.167,,Surface,1,Image 1,12,1000018773,19228,
9.21053,,Surface,1,Image 1,12,1000019003,19229,
54.3333,,Surface,1,Image 1,12,1000019002,19230,
5.75,,Surface,1,Image 1,12,1000018913,19231,
5.16667,,Surface,1,Image 1,12,1000019004,19232,
32.4286,,Surface,1,Image 1,12,1000018774,19233,
29.2308,,Surface,1,Image 1,12,1000019049,19234,
40.75,,Surface,1,Image 1,12,1000019007,19235,
0,,Surface,1,Image 1,12,1000019191,19236,
99.875,,Surface,1,Image 1,12,1000018776,19237,
0,,Surface,1,Image 1,12,1000018964,19238,
88.9167,,Surface,1,Image 1,12,1000018779,19239,
53.3333,,Surface,1,Image 1,13,1000019240,19240,
17.8333,,Surface,1,Image 1,13,1000018812,19241,
75.625,,Surface,1,Image 1,13,1000018947,19242,
58.8235,,Surface,1,Image 1,13,1000019064,19243,
246.133,,Surface,1,Image 1,13,1000018755,19244,
198.4,,Surface,1,Image 1,13,1000019109,19245,
125.917,,Surface,1,Image 1,13,1000019108,19246,
204.813,,Surface,1,Image 1,13,1000018759,19247,
66.9091,,Surface,1,Image 1,13,1000018816,19248,
162.143,,Surface,1,Image 1,13,1000018760,19249,
19.9,,Surface,1,Image 1,13,1000019114,19250,
164,,Surface,1,Image 1,13,1000018970,19251,
67.5556,,Surface,1,Image 1,13,1000018930,19252,
255,,Surface,1,Image 1,13,1000018761,19253,
248,,Surface,1,Image 1,13,1000018762,19254,
255,,Surface,1,Image 1,13,1000018933,19255,
165.571,,Surface,1,Image 1,13,1000019216,19256,
208.533,,Surface,1,Image 1,13,1000018764,19257,
54.5263,,Surface,1,Image 1,13,1000018978,19258,
146.933,,Surface,1,Image 1,13,1000018766,19259,
231.323,,Surface,1,Image 1,13,1000018799,19260,
255,,Surface,1,Image 1,13,1000018904,19261,
255,,Surface,1,Image 1,13,1000018770,19262,
178.231,,Surface,1,Image 1,13,1000019152,19263,
156.432,,Surface,1,Image 1,13,1000019150,19264,
8,,Surface,1,Image 1,13,1000018996,19265,
31.4,,Surface,1,Image 1,13,1000019180,19266,
40.2667,,Surface,1,Image 1,13,1000019133,19267,
65,,Surface,1,Image 1,13,1000019087,19268,
