
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,TrackID,ID,
2.71617,um,Surface,10,1000018919,19146,
0.744405,um,Surface,10,1000018778,19147,
3.30811,um,Surface,10,1000018964,19148,
2.15063,um,Surface,10,1000018779,19149,
0,um,Surface,11,1000019150,19150,
1.88747,um,Surface,11,1000018770,19151,
0,um,Surface,11,1000019152,19152,
3.91391,um,Surface,11,1000018812,19153,
1.02918,um,Surface,11,1000018947,19154,
1.14887,um,Surface,11,1000018755,19155,
0.726386,um,Surface,11,1000019064,19156,
3.73827,um,Surface,11,1000018756,19157,
0.933608,um,Surface,11,1000019108,19158,
1.68206,um,Surface,11,1000019109,19159,
3.46195,um,Surface,11,1000018788,19160,
0.928274,um,Surface,11,1000018759,19161,
1.23007,um,Surface,11,1000018760,19162,
3.45394,um,Surface,11,1000018858,19163,
2.61528,um,Surface,11,1000019114,19164,
3.59435,um,Surface,11,1000018816,19165,
2.08991,um,Surface,11,1000018970,19166,
1.89413,um,Surface,11,1000018930,19167,
1.1218,um,Surface,11,1000018761,19168,
1.94262,um,Surface,11,1000018762,19169,
0.886034,um,Surface,11,1000018933,19170,
1.73283,um,Surface,11,1000018764,19171,
2.13903,um,Surface,11,1000018794,19172,
1.44236,um,Surface,11,1000018978,19173,
1.06243,um,Surface,11,1000018766,19174,
3.42329,um,Surface,11,1000018867,19175,
1.03345,um,Surface,11,1000018768,19176,
1.01017,um,Surface,11,1000018799,19177,
1.82009,um,Surface,11,1000018904,19178,
1.95006,um,Surface,11,1000018996,19179,
0,um,Surface,11,1000019180,19180,
2.2556,um,Surface,11,1000019133,19181,
3.42992,um,Surface,11,1000019087,19182,
1.14535,um,Surface,11,1000018773,19183,
2.17556,um,Surface,11,1000019003,19184,
1.31276,um,Surface,11,1000019002,19185,
2.14976,um,Surface,11,1000018913,19186,
1.38097,um,Surface,11,1000019004,19187,
1.99313,um,Surface,11,1000018774,19188,
1.74924,um,Surface,11,1000019049,19189,
1.98121,um,Surface,11,1000019007,19190,
0,um,Surface,11,1000019191,19191,
2.96074,um,Surface,11,1000018776,19192,
2.23557,um,Surface,11,1000018777,19193,
0.705587,um,Surface,11,1000018778,19194,
4.44645,um,Surface,11,1000018964,19195,
1.09669,um,Surface,11,1000018779,19196,
1.22408,um,Surface,12,1000019152,19197,
1.90362,um,Surface,12,1000018770,19198,
3.02505,um,Surface,12,1000018812,19199,
0.613017,um,Surface,12,1000018947,19200,
0.856717,um,Surface,12,1000018755,19201,
1.29869,um,Surface,12,1000019064,19202,
0.442967,um,Surface,12,1000018788,19203,
0.758623,um,Surface,12,1000019109,19204,
2.39051,um,Surface,12,1000018759,19205,
3.7114,um,Surface,12,1000019108,19206,
0.46429,um,Surface,12,1000018760,19207,
0.830261,um,Surface,12,1000018858,19208,
2.52906,um,Surface,12,1000019114,19209,
1.57435,um,Surface,12,1000018816,19210,
1.5665,um,Surface,12,1000018970,19211,
0.234825,um,Surface,12,1000018930,19212,
0.602866,um,Surface,12,1000018761,19213,
0.579945,um,Surface,12,1000018762,19214,
1.88213,um,Surface,12,1000018933,19215,
0,um,Surface,12,1000019216,19216,
1.66833,um,Surface,12,1000018764,19217,
0.308097,um,Surface,12,1000018978,19218,
0.532258,um,Surface,12,1000018766,19219,
1.57523,um,Surface,12,1000018768,19220,
0.414579,um,Surface,12,1000018799,19221,
2.34836,um,Surface,12,1000018904,19222,
0.80684,um,Surface,12,1000019150,19223,
0.61886,um,Surface,12,1000019180,19224,
0.542958,um,Surface,12,1000018996,19225,
1.08253,um,Surface,12,1000019133,19226,
2.21424,um,Surface,12,1000019087,19227,
1.0559,um,Surface,12,1000018773,19228,
4.1241,um,Surface,12,1000019003,19229,
1.41118,um,Surface,12,1000019002,19230,
1.8796,um,Surface,12,1000018913,19231,
0.990477,um,Surface,12,1000019004,19232,
1.09352,um,Surface,12,1000018774,19233,
1.83171,um,Surface,12,1000019049,19234,
1.08724,um,Surface,12,1000019007,19235,
3.88201,um,Surface,12,1000019191,19236,
1.07622,um,Surface,12,1000018776,19237,
1.17824,um,Surface,12,1000018964,19238,
0.585473,um,Surface,12,1000018779,19239,
0,um,Surface,13,1000019240,19240,
1.31551,um,Surface,13,1000018812,19241,
1.14162,um,Surface,13,1000018947,19242,
2.39337,um,Surface,13,1000019064,19243,
1.48631,um,Surface,13,1000018755,19244,
1.96214,um,Surface,13,1000019109,19245,
2.13754,um,Surface,13,1000019108,19246,
2.92539,um,Surface,13,1000018759,19247,
4.70039,um,Surface,13,1000018816,19248,
1.34336,um,Surface,13,1000018760,19249,
4.08995,um,Surface,13,1000019114,19250,
1.3949,um,Surface,13,1000018970,19251,
1.15261,um,Surface,13,1000018930,19252,
1.25338,um,Surface,13,1000018761,19253,
1.12227,um,Surface,13,1000018762,19254,
1.85652,um,Surface,13,1000018933,19255,
1.18208,um,Surface,13,1000019216,19256,
0.979512,um,Surface,13,1000018764,19257,
1.81798,um,Surface,13,1000018978,19258,
1.01762,um,Surface,13,1000018766,19259,
0.728362,um,Surface,13,1000018799,19260,
1.85653,um,Surface,13,1000018904,19261,
1.12451,um,Surface,13,1000018770,19262,
1.36285,um,Surface,13,1000019152,19263,
1.65556,um,Surface,13,1000019150,19264,
1.85586,um,Surface,13,1000018996,19265,
2.0506,um,Surface,13,1000019180,19266,
1.59201,um,Surface,13,1000019133,19267,
1.67203,um,Surface,13,1000019087,19268,
1.49678,um,Surface,13,1000018773,19269,
1.22308,um,Surface,13,1000019003,19270,
0,um,Surface,13,1000019271,19271,
3.03503,um,Surface,13,1000019004,19272,
2.46682,um,Surface,13,1000018774,19273,
2.06591,um,Surface,13,1000019049,19274,
1.186,um,Surface,13,1000019007,19275,
1.54101,um,Surface,13,1000019191,19276,
1.5191,um,Surface,13,1000018776,19277,
1.72971,um,Surface,13,1000018779,19278,
1.58391,um,Surface,14,1000018812,19279,
1.54364,um,Surface,14,1000018947,19280,
1.27935,um,Surface,14,1000018755,19281,
1.73488,um,Surface,14,1000019064,19282,
1.32778,um,Surface,14,1000019109,19283,
0,um,Surface,14,1000019284,19284,
1.04012,um,Surface,14,1000019108,19285,
1.12219,um,Surface,14,1000018759,19286,
2.03843,um,Surface,14,1000018816,19287,
1.37878,um,Surface,14,1000018760,19288,
2.99998,um,Surface,14,1000019114,19289,
1.20385,um,Surface,14,1000018930,19290,
