
Intensity Median Ch=4 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,TrackID,ID,
129.404,,Surface,4,Image 1,10,1000018816,19115,
255,,Surface,4,Image 1,10,1000018970,19116,
229.984,,Surface,4,Image 1,10,1000018930,19117,
255,,Surface,4,Image 1,10,1000018761,19118,
255,,Surface,4,Image 1,10,1000018762,19119,
255,,Surface,4,Image 1,10,1000018933,19120,
255,,Surface,4,Image 1,10,1000018764,19121,
103.474,,Surface,4,Image 1,10,1000018794,19122,
205.958,,Surface,4,Image 1,10,1000018978,19123,
254.992,,Surface,4,Image 1,10,1000018766,19124,
56.5,,Surface,4,Image 1,10,1000018867,19125,
120,,Surface,4,Image 1,10,1000018797,19126,
254.979,,Surface,4,Image 1,10,1000018768,19127,
255,,Surface,4,Image 1,10,1000018799,19128,
255,,Surface,4,Image 1,10,1000018904,19129,
254.988,,Surface,4,Image 1,10,1000018769,19130,
254.986,,Surface,4,Image 1,10,1000018770,19131,
19.9985,,Surface,4,Image 1,10,1000018996,19132,
48.525,,Surface,4,Image 1,10,1000019133,19133,
97.958,,Surface,4,Image 1,10,1000019087,19134,
255,,Surface,4,Image 1,10,1000018773,19135,
16.472,,Surface,4,Image 1,10,1000018912,19136,
47.508,,Surface,4,Image 1,10,1000019003,19137,
239.497,,Surface,4,Image 1,10,1000019002,19138,
82.492,,Surface,4,Image 1,10,1000018913,19139,
89.0325,,Surface,4,Image 1,10,1000019004,19140,
195.009,,Surface,4,Image 1,10,1000018774,19141,
114.984,,Surface,4,Image 1,10,1000019049,19142,
141.076,,Surface,4,Image 1,10,1000019007,19143,
181.976,,Surface,4,Image 1,10,1000018776,19144,
184.024,,Surface,4,Image 1,10,1000018777,19145,
173.886,,Surface,4,Image 1,10,1000018919,19146,
88.997,,Surface,4,Image 1,10,1000018778,19147,
18.504,,Surface,4,Image 1,10,1000018964,19148,
186.038,,Surface,4,Image 1,10,1000018779,19149,
254.999,,Surface,4,Image 1,11,1000019150,19150,
254.973,,Surface,4,Image 1,11,1000018770,19151,
254.988,,Surface,4,Image 1,11,1000019152,19152,
102.536,,Surface,4,Image 1,11,1000018812,19153,
248.426,,Surface,4,Image 1,11,1000018947,19154,
175.008,,Surface,4,Image 1,11,1000018755,19155,
168.976,,Surface,4,Image 1,11,1000019064,19156,
114.023,,Surface,4,Image 1,11,1000018756,19157,
249.015,,Surface,4,Image 1,11,1000019108,19158,
253,,Surface,4,Image 1,11,1000019109,19159,
82.0515,,Surface,4,Image 1,11,1000018788,19160,
255,,Surface,4,Image 1,11,1000018759,19161,
254.973,,Surface,4,Image 1,11,1000018760,19162,
137,,Surface,4,Image 1,11,1000018858,19163,
111.004,,Surface,4,Image 1,11,1000019114,19164,
178.003,,Surface,4,Image 1,11,1000018816,19165,
254.997,,Surface,4,Image 1,11,1000018970,19166,
254.912,,Surface,4,Image 1,11,1000018930,19167,
255,,Surface,4,Image 1,11,1000018761,19168,
255,,Surface,4,Image 1,11,1000018762,19169,
255,,Surface,4,Image 1,11,1000018933,19170,
255,,Surface,4,Image 1,11,1000018764,19171,
111.56,,Surface,4,Image 1,11,1000018794,19172,
184.984,,Surface,4,Image 1,11,1000018978,19173,
254.978,,Surface,4,Image 1,11,1000018766,19174,
65.5,,Surface,4,Image 1,11,1000018867,19175,
254.982,,Surface,4,Image 1,11,1000018768,19176,
255,,Surface,4,Image 1,11,1000018799,19177,
255,,Surface,4,Image 1,11,1000018904,19178,
25.508,,Surface,4,Image 1,11,1000018996,19179,
201.494,,Surface,4,Image 1,11,1000019180,19180,
13.5143,,Surface,4,Image 1,11,1000019133,19181,
118.008,,Surface,4,Image 1,11,1000019087,19182,
255,,Surface,4,Image 1,11,1000018773,19183,
48.9855,,Surface,4,Image 1,11,1000019003,19184,
255,,Surface,4,Image 1,11,1000019002,19185,
84.064,,Surface,4,Image 1,11,1000018913,19186,
69.488,,Surface,4,Image 1,11,1000019004,19187,
175.029,,Surface,4,Image 1,11,1000018774,19188,
148.016,,Surface,4,Image 1,11,1000019049,19189,
119.936,,Surface,4,Image 1,11,1000019007,19190,
68.95,,Surface,4,Image 1,11,1000019191,19191,
161.908,,Surface,4,Image 1,11,1000018776,19192,
200.5,,Surface,4,Image 1,11,1000018777,19193,
82.98,,Surface,4,Image 1,11,1000018778,19194,
6.0005,,Surface,4,Image 1,11,1000018964,19195,
227.008,,Surface,4,Image 1,11,1000018779,19196,
254.986,,Surface,4,Image 1,12,1000019152,19197,
255,,Surface,4,Image 1,12,1000018770,19198,
101.5,,Surface,4,Image 1,12,1000018812,19199,
154.456,,Surface,4,Image 1,12,1000018947,19200,
170.52,,Surface,4,Image 1,12,1000018755,19201,
142.488,,Surface,4,Image 1,12,1000019064,19202,
148.077,,Surface,4,Image 1,12,1000018788,19203,
248,,Surface,4,Image 1,12,1000019109,19204,
255,,Surface,4,Image 1,12,1000018759,19205,
236.981,,Surface,4,Image 1,12,1000019108,19206,
254.964,,Surface,4,Image 1,12,1000018760,19207,
93.5,,Surface,4,Image 1,12,1000018858,19208,
51.578,,Surface,4,Image 1,12,1000019114,19209,
145.029,,Surface,4,Image 1,12,1000018816,19210,
254.981,,Surface,4,Image 1,12,1000018970,19211,
172.024,,Surface,4,Image 1,12,1000018930,19212,
255,,Surface,4,Image 1,12,1000018761,19213,
255,,Surface,4,Image 1,12,1000018762,19214,
255,,Surface,4,Image 1,12,1000018933,19215,
128.078,,Surface,4,Image 1,12,1000019216,19216,
255,,Surface,4,Image 1,12,1000018764,19217,
177.02,,Surface,4,Image 1,12,1000018978,19218,
254.994,,Surface,4,Image 1,12,1000018766,19219,
255,,Surface,4,Image 1,12,1000018768,19220,
255,,Surface,4,Image 1,12,1000018799,19221,
255,,Surface,4,Image 1,12,1000018904,19222,
254.988,,Surface,4,Image 1,12,1000019150,19223,
222,,Surface,4,Image 1,12,1000019180,19224,
10.9935,,Surface,4,Image 1,12,1000018996,19225,
40.9595,,Surface,4,Image 1,12,1000019133,19226,
215.04,,Surface,4,Image 1,12,1000019087,19227,
255,,Surface,4,Image 1,12,1000018773,19228,
68.12,,Surface,4,Image 1,12,1000019003,19229,
107.041,,Surface,4,Image 1,12,1000019002,19230,
47.904,,Surface,4,Image 1,12,1000018913,19231,
56.982,,Surface,4,Image 1,12,1000019004,19232,
254.937,,Surface,4,Image 1,12,1000018774,19233,
152.064,,Surface,4,Image 1,12,1000019049,19234,
193.526,,Surface,4,Image 1,12,1000019007,19235,
33.5,,Surface,4,Image 1,12,1000019191,19236,
173.03,,Surface,4,Image 1,12,1000018776,19237,
33.023,,Surface,4,Image 1,12,1000018964,19238,
161.475,,Surface,4,Image 1,12,1000018779,19239,
188.036,,Surface,4,Image 1,13,1000019240,19240,
112.027,,Surface,4,Image 1,13,1000018812,19241,
221.5,,Surface,4,Image 1,13,1000018947,19242,
122.044,,Surface,4,Image 1,13,1000019064,19243,
161.013,,Surface,4,Image 1,13,1000018755,19244,
255,,Surface,4,Image 1,13,1000019109,19245,
254.961,,Surface,4,Image 1,13,1000019108,19246,
255,,Surface,4,Image 1,13,1000018759,19247,
138.051,,Surface,4,Image 1,13,1000018816,19248,
254.975,,Surface,4,Image 1,13,1000018760,19249,
95.472,,Surface,4,Image 1,13,1000019114,19250,
255,,Surface,4,Image 1,13,1000018970,19251,
245.004,,Surface,4,Image 1,13,1000018930,19252,
255,,Surface,4,Image 1,13,1000018761,19253,
255,,Surface,4,Image 1,13,1000018762,19254,
255,,Surface,4,Image 1,13,1000018933,19255,
153.96,,Surface,4,Image 1,13,1000019216,19256,
255,,Surface,4,Image 1,13,1000018764,19257,
177.999,,Surface,4,Image 1,13,1000018978,19258,
255,,Surface,4,Image 1,13,1000018766,19259,
255,,Surface,4,Image 1,13,1000018799,19260,
255,,Surface,4,Image 1,13,1000018904,19261,
254.982,,Surface,4,Image 1,13,1000018770,19262,
254.997,,Surface,4,Image 1,13,1000019152,19263,
255,,Surface,4,Image 1,13,1000019150,19264,
37.014,,Surface,4,Image 1,13,1000018996,19265,
134.927,,Surface,4,Image 1,13,1000019180,19266,
49.5,,Surface,4,Image 1,13,1000019133,19267,
104.975,,Surface,4,Image 1,13,1000019087,19268,
255,,Surface,4,Image 1,13,1000018773,19269,
0,,Surface,4,Image 1,13,1000019003,19270,
50.953,,Surface,4,Image 1,13,1000019271,19271,
76.5,,Surface,4,Image 1,13,1000019004,19272,
