
Velocity Angle
 ==================== 
Velocity Angle X,Velocity Angle Y,Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
127.214,54.583,123.116,°,Surface,Velocity Angle,6,1000018770,18950,
112.352,119.272,38.2704,°,Surface,Velocity Angle,6,1000018771,18951,
104.938,104.937,158.63,°,Surface,Velocity Angle,6,1000018802,18952,
180.005,90.0027,90.0027,°,Surface,Velocity Angle,6,1000018772,18953,
155.229,65.2264,90.0027,°,Surface,Velocity Angle,6,1000018773,18954,
35.6399,122.664,77.31,°,Surface,Velocity Angle,6,1000018912,18955,
72.8198,159.915,100.096,°,Surface,Velocity Angle,6,1000018913,18956,
28.2664,109.423,109.711,°,Surface,Velocity Angle,6,1000018775,18957,
131.992,105.951,46.3212,°,Surface,Velocity Angle,6,1000018774,18958,
45.0013,45.0013,90.0027,°,Surface,Velocity Angle,6,1000018776,18959,
101.615,166.253,82.7358,°,Surface,Velocity Angle,6,1000018777,18960,
173.561,86.0027,95.0474,°,Surface,Velocity Angle,6,1000018809,18961,
106.383,21.7261,76.1296,°,Surface,Velocity Angle,6,1000018919,18962,
138.017,48.0142,90.0027,°,Surface,Velocity Angle,6,1000018778,18963,
165.968,104.04,90.0027,°,Surface,Velocity Angle,6,1000018964,18964,
74.7472,164.75,90.0027,°,Surface,Velocity Angle,6,1000018779,18965,
137.887,71.6517,53.691,°,Surface,Velocity Angle,7,1000018760,18966,
67.996,140.714,59.3056,°,Surface,Velocity Angle,7,1000018788,18967,
103.67,141.963,124.694,°,Surface,Velocity Angle,7,1000018858,18968,
155.528,83.6578,66.4667,°,Surface,Velocity Angle,7,1000018930,18969,
112.555,122.35,138.835,°,Surface,Velocity Angle,7,1000018970,18970,
135.225,133.801,97.5225,°,Surface,Velocity Angle,7,1000018761,18971,
154.373,112.558,78.4635,°,Surface,Velocity Angle,7,1000018762,18972,
129.523,135.719,106.706,°,Surface,Velocity Angle,7,1000018933,18973,
139.356,116.907,62.0582,°,Surface,Velocity Angle,7,1000018764,18974,
122.882,145.206,100.141,°,Surface,Velocity Angle,7,1000018763,18975,
31.6947,102.285,61.2912,°,Surface,Velocity Angle,7,1000018794,18976,
