
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
-1.0603,-0.406158,0.0519485,um,Surface,Displacement Delta,8,1000018759,19019,
0.687927,-0.284668,2.48571,um,Surface,Displacement Delta,8,1000018816,19020,
0.0610657,-0.18721,0.558824,um,Surface,Displacement Delta,8,1000018760,19021,
0.498169,-0.249084,0.9,um,Surface,Displacement Delta,8,1000018788,19022,
-1.1268,-1.54193,-1.71429,um,Surface,Displacement Delta,8,1000018858,19023,
-0.611374,-0.852905,-1.2,um,Surface,Displacement Delta,8,1000018970,19024,
-0.207581,0.093399,0.3375,um,Surface,Displacement Delta,8,1000018930,19025,
-0.590088,-0.679871,0.741741,um,Surface,Displacement Delta,8,1000018761,19026,
-1.14731,-1.09192,0.800003,um,Surface,Displacement Delta,8,1000018762,19027,
-0.207565,-1.66052,0,um,Surface,Displacement Delta,8,1000018933,19028,
-1.15993,-0.824127,0.0827179,um,Surface,Displacement Delta,8,1000018764,19029,
-0.0898743,-0.941696,0.09091,um,Surface,Displacement Delta,8,1000018763,19030,
1.77914,-1.66055,0.857143,um,Surface,Displacement Delta,8,1000018794,19031,
-0.207565,-0.370636,-1.92857,um,Surface,Displacement Delta,8,1000018978,19032,
-0.551697,-0.202103,0.184212,um,Surface,Displacement Delta,8,1000018766,19033,
0.553513,-0.691864,-1,um,Surface,Displacement Delta,8,1000018867,19034,
-0.701355,-1.75885,1.01842,um,Surface,Displacement Delta,8,1000018768,19035,
-0.415131,0,0,um,Surface,Displacement Delta,8,1000018797,19036,
-0.46701,-0.934052,-0.09375,um,Surface,Displacement Delta,8,1000018799,19037,
-1.24539,-0.830261,0,um,Surface,Displacement Delta,8,1000018904,19038,
-1.72971,-0.844086,0.8,um,Surface,Displacement Delta,8,1000018769,19039,
-0.343964,-0.652359,0.257145,um,Surface,Displacement Delta,8,1000018770,19040,
-0.691887,0,0,um,Surface,Displacement Delta,8,1000018996,19041,
0,-0.968628,2,um,Surface,Displacement Delta,8,1000018802,19042,
0,-1.66053,0,um,Surface,Displacement Delta,8,1000018773,19043,
0.421539,-1.74357,0,um,Surface,Displacement Delta,8,1000018912,19044,
-1.44847,2.41531,0.57143,um,Surface,Displacement Delta,8,1000019003,19045,
-0.553505,0.415146,-0.5,um,Surface,Displacement Delta,8,1000018913,19046,
2.07566,-1.66054,-3,um,Surface,Displacement Delta,8,1000019002,19047,
-0.498154,0.3321,-0.599998,um,Surface,Displacement Delta,8,1000019004,19048,
0,0,0,um,Surface,Displacement Delta,8,1000019049,19049,
-2.07566,-0.622696,0,um,Surface,Displacement Delta,8,1000018774,19050,
-1.45297,-1.86807,0,um,Surface,Displacement Delta,8,1000018775,19051,
-0.177917,-0.830261,0,um,Surface,Displacement Delta,8,1000019007,19052,
-0.726486,-0.726486,0,um,Surface,Displacement Delta,8,1000018776,19053,
-0.801224,-0.357071,-0.0419617,um,Surface,Displacement Delta,8,1000018777,19054,
-0.741703,-2.57935,-0.0400009,um,Surface,Displacement Delta,8,1000018919,19055,
-0.10379,0.518913,0,um,Surface,Displacement Delta,8,1000018778,19056,
-0.166053,-2.10332,-0.199997,um,Surface,Displacement Delta,8,1000018964,19057,
-1.46449,-1.2108,0,um,Surface,Displacement Delta,8,1000018779,19058,
0.551544,0.237221,-0.107143,um,Surface,Displacement Delta,9,1000018770,19059,
0.670135,0.349884,-0.3,um,Surface,Displacement Delta,9,1000018769,19060,
0.472809,-0.0115356,0,um,Surface,Displacement Delta,9,1000018947,19061,
-1.55676,1.97189,0,um,Surface,Displacement Delta,9,1000018812,19062,
-1.50955,-0.608276,1.29947,um,Surface,Displacement Delta,9,1000018755,19063,
0,0,0,um,Surface,Displacement Delta,9,1000019064,19064,
0.415131,0.415131,0,um,Surface,Displacement Delta,9,1000018756,19065,
1.21126,-0.952484,-1.14286,um,Surface,Displacement Delta,9,1000018759,19066,
-0.508972,0.223633,0.362229,um,Surface,Displacement Delta,9,1000018760,19067,
0.794678,-2.04007,2.18571,um,Surface,Displacement Delta,9,1000018788,19068,
1.25296,1.75113,0.163643,um,Surface,Displacement Delta,9,1000018816,19069,
0.138367,1.66052,-2,um,Surface,Displacement Delta,9,1000018858,19070,
-0.561646,0.227112,-0.0617647,um,Surface,Displacement Delta,9,1000018930,19071,
0.915802,0.548492,-1.4,um,Surface,Displacement Delta,9,1000018970,19072,
0.433807,-0.544739,-1.05159,um,Surface,Displacement Delta,9,1000018761,19073,
0.166077,0.276733,-0.800003,um,Surface,Displacement Delta,9,1000018762,19074,
0,0.830261,0,um,Surface,Displacement Delta,9,1000018933,19075,
0.454208,-0.0407104,-1.17647,um,Surface,Displacement Delta,9,1000018764,19076,
-0.481384,0.188385,-0.17647,um,Surface,Displacement Delta,9,1000018763,19077,
-1.89777,-2.01636,0.428572,um,Surface,Displacement Delta,9,1000018794,19078,
-1.01411,-0.343964,-0.192857,um,Surface,Displacement Delta,9,1000018978,19079,
0.101959,0.0752563,-1.01755,um,Surface,Displacement Delta,9,1000018766,19080,
0.553497,0.276764,1.5,um,Surface,Displacement Delta,9,1000018867,19081,
-1.66052,-1.03784,0,um,Surface,Displacement Delta,9,1000018797,19082,
0.142975,0.99173,0.0166674,um,Surface,Displacement Delta,9,1000018768,19083,
-1.28052,-1.01495,0.104779,um,Surface,Displacement Delta,9,1000018799,19084,
0.20755,1.45294,1.5,um,Surface,Displacement Delta,9,1000018904,19085,
0.0691833,0.415131,0,um,Surface,Displacement Delta,9,1000018996,19086,
0,0,0,um,Surface,Displacement Delta,9,1000019087,19087,
-0.249084,0.3321,0,um,Surface,Displacement Delta,9,1000018773,19088,
-0.19928,0.747246,0.36,um,Surface,Displacement Delta,9,1000018912,19089,
-1.66053,0.830276,0,um,Surface,Displacement Delta,9,1000018913,19090,
1.69676,-1.25294,-1.2,um,Surface,Displacement Delta,9,1000019003,19091,
-0.622704,0.207565,1.5,um,Surface,Displacement Delta,9,1000019002,19092,
0.0830231,-1.99264,-2.4,um,Surface,Displacement Delta,9,1000019004,19093,
0.717041,0.264175,-1.09091,um,Surface,Displacement Delta,9,1000018774,19094,
-0.913292,0.0830383,0.599998,um,Surface,Displacement Delta,9,1000019049,19095,
0.418259,0.349594,0.473686,um,Surface,Displacement Delta,9,1000019007,19096,
-0.754791,0.679306,-0.545456,um,Surface,Displacement Delta,9,1000018776,19097,
-0.150955,1.16992,-1.22727,um,Surface,Displacement Delta,9,1000018777,19098,
-0.171589,-2.42992,-0.360001,um,Surface,Displacement Delta,9,1000018919,19099,
0.341003,-0.934044,0,um,Surface,Displacement Delta,9,1000018778,19100,
2.44396,-3.21889,-2.8,um,Surface,Displacement Delta,9,1000018964,19101,
-0.620605,1.03154,0,um,Surface,Displacement Delta,9,1000018779,19102,
0.763153,-0.167725,0.545456,um,Surface,Displacement Delta,10,1000018947,19103,
0.588089,0.795685,0,um,Surface,Displacement Delta,10,1000018812,19104,
1.73599,0.301926,-1.36364,um,Surface,Displacement Delta,10,1000018755,19105,
0.553513,-0.0553589,0.599998,um,Surface,Displacement Delta,10,1000019064,19106,
